strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee
strategy_a_ema21_pullback,2019-12-30 16:00:00+00:00,7263.5470000000005,2020-01-03 16:00:00+00:00,7321.0639200000005,7984.130763201317,0.6938818573688986,5040.043483446292,0.05040043483446292,500.0,-43.9579460454073,-0.0879158920908146,close_above_ema21,5,5,2019-12-29 16:00:00+00:00,33,37,32,100000.0,99956.04205395459,2.016017393378517,2.0319813722904123
strategy_a_ema21_pullback,2020-02-17 16:00:00+00:00,9630.77346,2020-02-18 16:00:00+00:00,9829.76556,10917.419958353075,0.3884363039183633,3740.9420466774677,0.03742587211144445,499.78021026977297,-80.3194277726283,-0.16070950014061827,close_above_ema21,2,2,2020-02-16 16:00:00+00:00,82,83,81,99956.04205395459,99875.72262618196,1.4963768186709872,1.5272951210041683
strategy_a_ema21_pullback,2020-02-20 16:00:00+00:00,9575.28456,2020-02-21 16:00:00+00:00,9720.9438,10962.710331086628,0.3599317697117576,3446.4491171744685,0.03450737603245133,499.3786131309098,-55.20551827702009,-0.11054842323122921,close_above_ema21,2,2,2020-02-19 16:00:00+00:00,85,86,84,99875.72262618196,99820.51710790493,1.3785796468697875,1.3995506020810151
strategy_a_ema21_pullback,2020-02-25 16:00:00+00:00,9398.02002,2020-04-02 16:00:00+00:00,6801.36,10675.397363933456,0.390724469875618,3672.0363901949445,0.03678638917714193,499.1025855395247,1012.0468120934605,2.027733058123609,close_above_ema21,38,38,2020-02-24 16:00:00+00:00,90,127,89,99820.51710790493,100832.5639199984,1.468814556077978,1.0629831121732933
strategy_a_ema21_pullback,2020-04-10 16:00:00+00:00,6763.84696,2020-04-11 16:00:00+00:00,6831.56604,7974.020431313361,0.4166037609904313,2817.844082299695,0.027945774388276008,504.162819599992,-30.477583494019115,-0.06045186655810983,close_above_ema21,2,2,2020-04-09 16:00:00+00:00,135,136,134,100832.5639199984,100802.08633650438,1.1271376329198781,1.1384224422874027
strategy_a_ema21_pullback,2020-04-15 16:00:00+00:00,6701.75938,2020-04-16 16:00:00+00:00,7046.20896,7912.81020594773,0.4161761181972686,2789.1122038605336,0.027669191236277885,504.01043168252187,-145.6403195578154,-0.288962907120055,close_above_ema21,2,2,2020-04-14 16:00:00+00:00,140,141,139,100802.08633650438,100656.44601694656,1.1156448815442135,1.1729855571918453
strategy_a_ema21_pullback,2020-04-21 16:00:00+00:00,6825.73458,2020-04-22 16:00:00+00:00,7114.9227,7711.479433667673,0.5682022627630889,3878.3978333762625,0.038531042837766136,503.2822300847328,-167.48578935256387,-0.33278701162241686,close_above_ema21,2,2,2020-04-20 16:00:00+00:00,146,147,145,100656.44601694656,100488.960227594,1.551359133350505,1.6170860710097865
strategy_a_ema21_pullback,2020-05-21 16:00:00+00:00,9085.08262,2020-05-22 16:00:00+00:00,9224.54454,10554.616394530747,0.3419076239322304,3106.2590118322023,0.030911445444324857,502.44480113797,-50.18717414317158,-0.09988594573872468,close_above_ema21,2,2,2020-05-20 16:00:00+00:00,176,177,175,100488.960227594,100438.77305345083,1.242503604732881,1.261576842211372
strategy_a_ema21_pullback,2020-05-24 16:00:00+00:00,9051.989239999999,2020-05-27 16:00:00+00:00,9149.529540000001,10497.241807137045,0.34747827243930696,3145.369583254395,0.03131628839771383,502.1938652672542,-36.422987857790964,-0.072527743520737,close_above_ema21,4,4,2020-05-23 16:00:00+00:00,179,182,178,100438.77305345083,100402.35006559304,1.258147833301758,1.2717050872766429
strategy_a_ema21_pullback,2020-06-12 16:00:00+00:00,9421.815260000001,2020-06-22 16:00:00+00:00,9495.198659999998,10433.131503500214,0.4963944300849745,4676.936616353617,0.04658194368257482,502.0117503279652,-40.1832311581874,-0.08004440360596264,close_above_ema21,11,11,2020-06-11 16:00:00+00:00,198,208,197,100402.35006559304,100362.16683443486,1.8707746465414468,1.8853454909497251
