strategy_name,period_freq,period_label,period_start_equity,period_end_equity,period_return,trade_count,win_rate,max_drawdown,profit_factor,schedule_name,stop_rule_name,cost_scenario_name
v8_a_flat_1_0__v10_a_no_stop,M,2021-05,100000.0,99950.4615146751,-0.0004953848532489591,1,0.0,-0.0004953848532489591,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2021-12,99950.4615146751,100136.97870348394,0.001866096323941857,1,1.0,0.0,999.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-01,100136.97870348394,100519.52475189029,0.0038202275858463253,4,0.5,-0.0032871226552249055,1.6310165819537426,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-02,100519.52475189029,100366.62282492548,-0.001521116691928448,1,0.0,-0.001521116691928448,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-03,100366.62282492548,100101.33319393596,-0.0026432057144363252,1,0.0,-0.0026432057144363252,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-04,100101.33319393596,99955.99167486641,-0.0014519438895780334,1,0.0,-0.0014519438895780334,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-05,99955.99167486641,100745.41869510403,0.007897745868056028,2,0.5,-3.6257427351804594e-05,218.8242209914223,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-07,100745.41869510403,100383.76467333523,-0.00358978131664045,1,0.0,-0.00358978131664045,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-08,100383.76467333523,100531.70349490338,0.001473732550772322,1,1.0,0.0,999.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-09,100531.70349490338,100612.14793013413,0.0008001897156235671,5,0.4,-0.002157114411987071,1.2732091571349642,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-10,100612.14793013413,100577.43468057553,-0.00034502045998163755,1,0.0,-0.00034502045998163755,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2022-11,100577.43468057553,100458.09908140605,-0.0011865047020584996,1,0.0,-0.0011865047020584996,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2023-01,100458.09908140605,100392.72152146454,-0.0006507943166287333,1,0.0,-0.0006507943166287333,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2023-06,100392.72152146454,100249.45453130789,-0.0014270655081904948,1,0.0,-0.0014270655081904948,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2023-08,100249.45453130789,100168.20300597792,-0.0008104934406858444,1,0.0,-0.0008104934406858444,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2024-05,100168.20300597792,100055.44870551353,-0.0011256496281326633,2,0.0,-0.0011256496281326633,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2024-07,100055.44870551353,100640.27767839341,0.00584504872494418,3,0.3333333333333333,-0.0016527211483328141,4.510258563745176,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2024-09,100640.27767839341,100923.85440708698,0.0028177260162156603,2,0.5,-3.403056303308283e-05,83.79986474146033,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2025-03,100923.85440708698,102150.55117467036,0.012154676164421563,5,0.4,-0.002447683337269635,4.126668690140338,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2025-04,102150.55117467036,101430.58759306619,-0.0070480636014688125,3,0.0,-0.0070480636014688125,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2025-09,101430.58759306619,101118.69043404266,-0.0030749812894197426,1,0.0,-0.0030749812894197426,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2025-10,101118.69043404266,101037.05092969614,-0.0008073631491476441,1,0.0,-0.0008073631491476441,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2025-11,101037.05092969614,102197.30461989834,0.011483447700878724,2,0.5,-0.0011226118788260075,11.229223400779292,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2025-12,102197.30461989834,101624.75748347683,-0.005602370224449427,3,0.0,-0.005602370224449427,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2026-02,101624.75748347683,103644.98750218427,0.01987930961641826,3,0.3333333333333333,-0.002806828406240358,7.924938955215819,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2026-03,103644.98750218427,102997.84410097469,-0.006243846584437551,3,0.0,-0.006243846584437551,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_a_no_stop,M,2026-04,102997.84410097469,102898.97570323721,-0.0009599074485534542,1,0.0,-0.0009599074485534542,0.0,v8_a_flat_1_0,v10_a_no_stop,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2021-05,100000.0,99950.4615146751,-0.0004953848532489591,1,0.0,-0.0004953848532489591,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2021-12,99950.4615146751,100136.97870348394,0.001866096323941857,1,1.0,0.0,999.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-01,100136.97870348394,100519.52475189029,0.0038202275858463253,4,0.5,-0.0032871226552249055,1.6310165819537426,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-02,100519.52475189029,100366.62282492548,-0.001521116691928448,1,0.0,-0.001521116691928448,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-03,100366.62282492548,100101.33319393596,-0.0026432057144363252,1,0.0,-0.0026432057144363252,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-04,100101.33319393596,99955.99167486641,-0.0014519438895780334,1,0.0,-0.0014519438895780334,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-05,99955.99167486641,100745.41869510403,0.007897745868056028,2,0.5,-3.6257427351804594e-05,218.8242209914223,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-07,100745.41869510403,100383.76467333523,-0.00358978131664045,1,0.0,-0.00358978131664045,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-08,100383.76467333523,100531.70349490338,0.001473732550772322,1,1.0,0.0,999.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-09,100531.70349490338,100612.14793013413,0.0008001897156235671,5,0.4,-0.002157114411987071,1.2732091571349642,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-10,100612.14793013413,100577.43468057553,-0.00034502045998163755,1,0.0,-0.00034502045998163755,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2022-11,100577.43468057553,100458.09908140605,-0.0011865047020584996,1,0.0,-0.0011865047020584996,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2023-01,100458.09908140605,100392.72152146454,-0.0006507943166287333,1,0.0,-0.0006507943166287333,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2023-06,100392.72152146454,100249.45453130789,-0.0014270655081904948,1,0.0,-0.0014270655081904948,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2023-08,100249.45453130789,100168.20300597792,-0.0008104934406858444,1,0.0,-0.0008104934406858444,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2024-05,100168.20300597792,100055.44870551353,-0.0011256496281326633,2,0.0,-0.0011256496281326633,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2024-07,100055.44870551353,100640.27767839341,0.00584504872494418,3,0.3333333333333333,-0.0016527211483328141,4.510258563745176,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2024-09,100640.27767839341,100923.85440708698,0.0028177260162156603,2,0.5,-3.403056303308283e-05,83.79986474146033,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2025-03,100923.85440708698,102150.55117467036,0.012154676164421563,5,0.4,-0.002447683337269635,4.126668690140338,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2025-04,102150.55117467036,101430.58759306619,-0.0070480636014688125,3,0.0,-0.0070480636014688125,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2025-09,101430.58759306619,101118.69043404266,-0.0030749812894197426,1,0.0,-0.0030749812894197426,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2025-10,101118.69043404266,101037.05092969614,-0.0008073631491476441,1,0.0,-0.0008073631491476441,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2025-11,101037.05092969614,102197.30461989834,0.011483447700878724,2,0.5,-0.0011226118788260075,11.229223400779292,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2025-12,102197.30461989834,101624.75748347683,-0.005602370224449427,3,0.0,-0.005602370224449427,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2026-02,101624.75748347683,103644.98750218427,0.01987930961641826,3,0.3333333333333333,-0.002806828406240358,7.924938955215819,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2026-03,103644.98750218427,102997.84410097469,-0.006243846584437551,3,0.0,-0.006243846584437551,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_b_stop_0_75pct,M,2026-04,102997.84410097469,102898.97570323721,-0.0009599074485534542,1,0.0,-0.0009599074485534542,0.0,v8_a_flat_1_0,v10_b_stop_0_75pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2021-05,100000.0,99950.4615146751,-0.0004953848532489591,1,0.0,-0.0004953848532489591,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2021-12,99950.4615146751,100136.97870348394,0.001866096323941857,1,1.0,0.0,999.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-01,100136.97870348394,100519.52475189029,0.0038202275858463253,4,0.5,-0.0032871226552249055,1.6310165819537426,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-02,100519.52475189029,100366.62282492548,-0.001521116691928448,1,0.0,-0.001521116691928448,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-03,100366.62282492548,100101.33319393596,-0.0026432057144363252,1,0.0,-0.0026432057144363252,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-04,100101.33319393596,99955.99167486641,-0.0014519438895780334,1,0.0,-0.0014519438895780334,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-05,99955.99167486641,100745.41869510403,0.007897745868056028,2,0.5,-3.6257427351804594e-05,218.8242209914223,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-07,100745.41869510403,100383.76467333523,-0.00358978131664045,1,0.0,-0.00358978131664045,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-08,100383.76467333523,100531.70349490338,0.001473732550772322,1,1.0,0.0,999.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-09,100531.70349490338,100612.14793013413,0.0008001897156235671,5,0.4,-0.002157114411987071,1.2732091571349642,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-10,100612.14793013413,100577.43468057553,-0.00034502045998163755,1,0.0,-0.00034502045998163755,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2022-11,100577.43468057553,100458.09908140605,-0.0011865047020584996,1,0.0,-0.0011865047020584996,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2023-01,100458.09908140605,100392.72152146454,-0.0006507943166287333,1,0.0,-0.0006507943166287333,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2023-06,100392.72152146454,100249.45453130789,-0.0014270655081904948,1,0.0,-0.0014270655081904948,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2023-08,100249.45453130789,100168.20300597792,-0.0008104934406858444,1,0.0,-0.0008104934406858444,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2024-05,100168.20300597792,100055.44870551353,-0.0011256496281326633,2,0.0,-0.0011256496281326633,0.0,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2024-07,100055.44870551353,100640.27767839341,0.00584504872494418,3,0.3333333333333333,-0.0016527211483328141,4.510258563745176,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
v8_a_flat_1_0__v10_c_stop_1_00pct,M,2024-09,100640.27767839341,100923.85440708698,0.0028177260162156603,2,0.5,-3.403056303308283e-05,83.79986474146033,v8_a_flat_1_0,v10_c_stop_1_00pct,stress_cost_2_0x
