strategy_name,trade_count,max_consecutive_losses,worst_consecutive_loss_sum,worst_3_trade_pnl,worst_5_trade_pnl,worst_10_trade_pnl
v8_a_flat_1_0__v11_a_no_throttle,52,9,-1369.0015507199773,-918.8040971164812,-1173.9366527982493,-1318.9934699168787
v8_a_flat_1_0__v11_b_after_3_losses_half,52,9,-1026.658566089143,-692.4033952612482,-929.5048277022873,-976.9734955268908
v8_a_flat_1_0__v11_c_after_4_losses_half,52,9,-1109.3867601317343,-758.5430201282709,-1012.233286310722,-1059.6613799413838
v8_a_flat_1_0__v11_d_after_3_losses_quarter,52,9,-856.8340741379963,-690.1550671328591,-829.0798778760255,-971.4738183257296
v8_c_strong_1_25_weak_0_5__v11_a_no_throttle,52,9,-1042.8317250807715,-816.8684143926505,-992.9652416864287,-905.1110789509572
v8_c_strong_1_25_weak_0_5__v11_b_after_3_losses_half,52,9,-714.3621182006822,-714.3621182006822,-681.1883323571483,-945.2387412581122
v8_c_strong_1_25_weak_0_5__v11_c_after_4_losses_half,52,9,-859.1063977547941,-714.677081846673,-834.2846269551117,-1049.8230855909787
v8_c_strong_1_25_weak_0_5__v11_d_after_3_losses_quarter,52,9,-712.0685757297956,-712.0685757297956,-681.1883323571483,-965.5493129656359
v8_d_strong_1_5_weak_0_5__v11_a_no_throttle,52,9,-1226.5439745914155,-988.8341932286995,-1176.2937262382163,-1125.2197556866572
v8_d_strong_1_5_weak_0_5__v11_b_after_3_losses_half,52,9,-860.8568602798774,-860.8568602798773,-775.7006320220569,-1128.1547675222776
v8_d_strong_1_5_weak_0_5__v11_c_after_4_losses_half,52,9,-1009.0611176138729,-861.3621658704836,-984.0509809059233,-1254.5159620099034
v8_d_strong_1_5_weak_0_5__v11_d_after_3_losses_quarter,52,9,-857.8536690942009,-857.8536690942008,-771.1130142135954,-1130.0525193853716
