year,strategy_name,year_start_equity,year_end_equity,year_return,trade_count,win_rate,max_drawdown,profit_factor
2021,v4_a_baseline,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731
2022,v4_a_baseline,100154.5922473154,100661.33516912966,0.0050596074572690775,18,0.3888888888888889,-0.007798338629792845,1.269739485444118
2023,v4_a_baseline,100661.33516912966,100418.76577753067,-0.002409757343188601,3,0.0,-0.001955208284157517,0.0
2024,v4_a_baseline,100418.76577753067,101264.8202350897,0.008425262459741845,7,0.42857142857142855,-0.0014371206661497604,4.640889504056737
2025,v4_a_baseline,101264.8202350897,102133.82386810347,0.008581495834351305,15,0.2,-0.012636734970622787,1.4174206762919512
2026,v4_a_baseline,102133.82386810347,103502.07076293645,0.013396608909894026,7,0.14285714285714285,-0.009374577451656818,2.396925354750747
2021,v4_b_close_below_ema21,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731
2022,v4_b_close_below_ema21,100154.5922473154,100786.36462466045,0.006307972137562956,17,0.4117647058823529,-0.007798338629792845,1.3602698447283652
2023,v4_b_close_below_ema21,100786.36462466045,100543.4939424129,-0.00240975734318849,3,0.0,-0.001955208284157406,0.0
2024,v4_b_close_below_ema21,100543.4939424129,101390.81543915362,0.008427412491016417,6,0.5,-0.0014371206661496494,4.645169326426037
2025,v4_b_close_below_ema21,101390.81543915362,102441.98842200114,0.010367536529759525,13,0.23076923076923078,-0.010888268456238914,1.5516119130837338
2026,v4_b_close_below_ema21,102441.98842200114,103903.72381707713,0.014268908848728001,6,0.16666666666666666,-0.008521878234096003,2.636761728658353
2021,v4_c_ema55_down,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731
2022,v4_c_ema55_down,100154.5922473154,100661.33516912966,0.0050596074572690775,18,0.3888888888888889,-0.007798338629792845,1.269739485444118
2023,v4_c_ema55_down,100661.33516912966,100418.76577753067,-0.002409757343188601,3,0.0,-0.001955208284157517,0.0
2024,v4_c_ema55_down,100418.76577753067,101256.57500226557,0.008343153973740192,6,0.3333333333333333,-0.0014371206661497604,4.605407176199849
2025,v4_c_ema55_down,101256.57500226557,102125.50787884816,0.008581495834351083,15,0.2,-0.012636734970622898,1.4174206762919515
2026,v4_c_ema55_down,102125.50787884816,103493.6433676254,0.013396608909894026,7,0.14285714285714285,-0.009374577451656818,2.3969253547507465
2021,v4_d_rsi_rebound,100000.0,100201.65243899029,0.0020165243899028518,1,1.0,0.0,999.0
2022,v4_d_rsi_rebound,100201.65243899029,100314.30487588052,0.0011242572766834158,11,0.36363636363636365,-0.006288073094014912,1.1175703716692669
2023,v4_d_rsi_rebound,100314.30487588052,100140.22244854359,-0.0017353699210927997,2,0.0,-0.001280513579416942,0.0
2024,v4_d_rsi_rebound,100140.22244854359,101129.26506222293,0.009876576958749439,5,0.6,-2.1320634961963236e-06,12.389556157052509
2025,v4_d_rsi_rebound,101129.26506222293,101555.64611899848,0.004216198511016733,11,0.18181818181818182,-0.009627606931882027,1.347277276399007
2026,v4_d_rsi_rebound,101555.64611899848,103161.52738254721,0.015812821097775487,6,0.16666666666666666,-0.007012657943991085,3.2042290617076623
2021,v4_e_atr_expansion,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731
2022,v4_e_atr_expansion,100154.5922473154,100044.44329503937,-0.0010997893337136855,1,0.0,0.0,0.0
2024,v4_e_atr_expansion,100044.44329503937,100349.2474358191,0.003046687359545164,2,1.0,0.0,999.0
2025,v4_e_atr_expansion,100349.2474358191,101103.46431866269,0.007515919671704285,8,0.25,-0.005845400291002112,1.9169574137191276
2026,v4_e_atr_expansion,101103.46431866269,100862.97963718386,-0.002378599814551019,1,0.0,0.0,0.0
2021,v4_f_volume_strong,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731
2022,v4_f_volume_strong,100154.5922473154,101211.8588902784,0.010556347135358912,11,0.5454545454545454,-0.003797392042188763,1.9605327271461377
2023,v4_f_volume_strong,101211.8588902784,101013.96862532115,-0.001955208284157406,2,0.0,-0.0006755597681974423,0.0
2024,v4_f_volume_strong,101013.96862532115,101313.47674038736,0.002965016810468457,1,1.0,0.0,999.0
2025,v4_f_volume_strong,101313.47674038736,101779.70927256891,0.004601880689340643,8,0.25,-0.007551278731822819,1.4142861840783334
2026,v4_f_volume_strong,101779.70927256891,101507.85452890175,-0.002671011202627138,2,0.0,-0.0002931085760808916,0.0
2021,v4_g_trend_gap_strong,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731
2022,v4_g_trend_gap_strong,100154.5922473154,100661.33516912966,0.0050596074572690775,18,0.3888888888888889,-0.007798338629792845,1.269739485444118
2023,v4_g_trend_gap_strong,100661.33516912966,100418.76577753067,-0.002409757343188601,3,0.0,-0.001955208284157517,0.0
2024,v4_g_trend_gap_strong,100418.76577753067,101352.7093345346,0.009300488307862675,5,0.6,-0.0014371206661496494,7.422270571717025
2025,v4_g_trend_gap_strong,101352.7093345346,101236.95163888764,-0.0011421272939520222,12,0.16666666666666666,-0.009144377379177615,0.9320667082634324
2026,v4_g_trend_gap_strong,101236.95163888764,102593.18348722365,0.013396608909893803,7,0.14285714285714285,-0.009374577451656929,2.396925354750747
2022,v4_h_breakdown_and_slope,100000.0,101600.60841545273,0.01600608415452731,5,0.8,-0.003497801576992088,5.497392722369054
2023,v4_h_breakdown_and_slope,101600.60841545273,101432.41989094806,-0.001655388950201342,2,0.0,-0.0012004961654313862,0.0
2024,v4_h_breakdown_and_slope,101432.41989094806,101325.53748398402,-0.0010537302282539462,1,0.0,0.0,0.0
2025,v4_h_breakdown_and_slope,101325.53748398402,103698.16937829733,0.02341593198741565,4,0.5,-0.001721600510178778,9.31865920316988
