strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,exit_rule_name,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee
v5_a_baseline,2021-05-21 16:00:00+00:00,36820.6344,2021-05-24 12:00:00+00:00,37592.517,45355.07055967795,0.05858617847097092,2157.1802583727713,0.021571802583727713,500.0,-46.96548462964,-0.09393096925928,close_above_ema21,ema21_reclaim,18,3.0,2021-05-21 12:00:00+00:00,3135,3152,3134,100000.0,99953.03451537035,0.8628721033491086,0.8809607640540033
v5_a_baseline,2021-12-16 16:00:00+00:00,48583.38138,2021-12-19 04:00:00+00:00,47721.64242,50624.55914755388,0.2448415716264453,11895.23145200618,0.11900820730136993,499.7651725768518,201.55773194505338,0.40330487798058534,close_above_ema21,ema21_reclaim,16,2.6666666666666665,2021-12-16 12:00:00+00:00,4389,4404,4388,99953.03451537035,100154.5922473154,4.758092580802471,4.673696772283217
v5_a_baseline,2021-12-31 20:00:00+00:00,45706.75682,2022-01-02 00:00:00+00:00,47732.74464,49557.17122790293,0.13005689990374716,5944.479096663654,0.05935303577478238,500.77296123657703,-268.354675867326,-0.5358809213753634,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2021-12-31 16:00:00+00:00,4480,4487,4479,100154.5922473154,99886.23757144807,2.3777916386654616,2.4831891167102413
v5_a_baseline,2022-01-03 16:00:00+00:00,46687.96054000001,2022-01-09 20:00:00+00:00,42690.43638,48792.70291031642,0.23728851326452846,11078.516743889573,0.11091134287609113,499.4311878572404,940.0831778961895,1.8823077147615117,close_above_ema21,ema21_reclaim,38,6.333333333333333,2022-01-03 12:00:00+00:00,4497,4534,4496,99886.23757144807,100826.32074934426,4.43140669755583,4.0519800716896555
v5_a_baseline,2022-01-11 12:00:00+00:00,41811.636,2022-01-11 20:00:00+00:00,42972.39276,43697.848285488115,0.2672719330826867,11175.076779069654,0.1108349158832351,504.13160374672134,-319.3018595884866,-0.6333700510252194,close_above_ema21,ema21_reclaim,3,0.5,2022-01-11 08:00:00+00:00,4544,4546,4543,100826.32074934426,100507.01888975577,4.470030711627862,4.594125792861461
v5_a_baseline,2022-01-26 20:00:00+00:00,37566.78514000001,2022-01-28 00:00:00+00:00,37167.9321,40035.38062126972,0.2035712607682086,7647.517813958206,0.07608939055636127,502.53509444877886,75.10947996935363,0.14946116360637415,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2022-01-26 16:00:00+00:00,4636,4643,4635,100507.01888975577,100582.12836972512,3.0590071255832822,3.0265291190976686
v5_a_baseline,2022-02-23 20:00:00+00:00,37610.57638,2022-02-25 00:00:00+00:00,38341.36674,40254.86242481025,0.19018768519224763,7153.068460458424,0.07111669415231298,502.91064184862563,-144.76537662834755,-0.2878550672465615,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2022-02-23 16:00:00+00:00,4804,4811,4803,100582.12836972512,100437.36299309677,2.8612273841833695,2.9168223149550534
v5_a_baseline,2022-03-07 20:00:00+00:00,37297.93892,2022-03-08 12:00:00+00:00,38992.69698,40640.66902596622,0.1502325341998636,5603.363884383323,0.055789635623631935,502.18681496548385,-259.19233243623495,-0.5161273149993986,close_above_ema21,ema21_reclaim,5,0.8333333333333333,2022-03-07 16:00:00+00:00,4876,4880,4875,100437.36299309677,100178.17066066054,2.2413455537533293,2.3431886730371074
v5_a_baseline,2022-04-26 16:00:00+00:00,38542.48996,2022-04-28 04:00:00+00:00,39350.3685,41585.07511354703,0.1646267328687143,6345.124198740023,0.06333839155671186,500.8908533033027,-138.12770331577656,-0.27576407595555863,close_above_ema21,ema21_reclaim,10,1.6666666666666665,2022-04-26 12:00:00+00:00,5175,5184,5174,100178.17066066054,100040.04295734476,2.5380496794960092,2.5912490413339877
v5_a_baseline,2022-04-29 12:00:00+00:00,38744.2496,2022-05-02 04:00:00+00:00,38684.63538,41193.18976923885,0.2042517089922169,7913.579194421017,0.07910411631665554,500.20021478672385,5.850313482227914,0.011695943562763923,close_above_ema21,ema21_reclaim,17,2.833333333333333,2022-04-29 08:00:00+00:00,5192,5208,5191,100040.04295734476,100045.89327082699,3.165431677768407,3.160561155242311
v5_a_baseline,2022-05-05 16:00:00+00:00,36892.62,2022-05-13 04:00:00+00:00,30580.81494,40820.268602951466,0.1273610541376419,4698.6829730994505,0.04696527582976331,500.22946635413496,800.440750832804,1.6001471418041895,close_above_ema21,ema21_reclaim,46,7.666666666666666,2022-05-05 12:00:00+00:00,5229,5274,5228,100045.89327082699,100846.33402165979,1.8794731892397802,1.5579219308586194
v5_a_baseline,2022-07-13 16:00:00+00:00,19452.208779999997,2022-07-14 00:00:00+00:00,20235.64632,20594.801726520665,0.4413047285507446,8584.351715370309,0.08512309147030135,504.23167010829894,-352.74046617483094,-0.6995603153984146,close_above_ema21,ema21_reclaim,3,0.5,2022-07-13 12:00:00+00:00,5643,5645,5642,100846.33402165979,100493.59355548496,3.4337406861481234,3.57203456251859
v5_a_baseline,2022-08-26 16:00:00+00:00,20774.04436,2022-08-30 00:00:00+00:00,20290.95738,22269.557153680158,0.33598373073155163,6979.740926455549,0.06945458590454191,502.4679677774248,156.79049681339734,0.31204078044403794,close_above_ema21,ema21_reclaim,21,3.5,2022-08-26 12:00:00+00:00,5907,5927,5906,100493.59355548496,100650.38405229835,2.79189637058222,2.726972624258924
v5_a_baseline,2022-09-02 20:00:00+00:00,19905.81804,2022-09-05 00:00:00+00:00,20004.70014,20808.566760872614,0.5574662235744159,11096.82120991828,0.1102511561620304,503.25192026149176,-64.02293720639024,-0.12721846579964097,close_above_ema21,ema21_reclaim,14,2.333333333333333,2022-09-02 16:00:00+00:00,5950,5963,5949,100650.38405229835,100586.36111509196,4.438728483967313,4.460777856313756
v5_a_baseline,2022-09-06 16:00:00+00:00,19818.635479999997,2022-09-08 20:00:00+00:00,19355.07024,20448.12240326206,0.7989551283594876,15834.200453833293,0.1574189609634614,502.9318055754598,357.8486125944579,0.7115251185695122,close_above_ema21,ema21_reclaim,14,2.333333333333333,2022-09-06 12:00:00+00:00,5973,5986,5972,100586.36111509196,100944.20972768642,6.3336801815333175,6.18553305120244
v5_a_baseline,2022-09-20 04:00:00+00:00,19355.1282,2022-09-22 12:00:00+00:00,19232.945819999997,20448.90247991274,0.46144900086578905,8931.404569519258,0.08847862193991303,504.72104863843214,49.25836589365945,0.09759522814937474,close_above_ema21,ema21_reclaim,15,2.5,2022-09-20 00:00:00+00:00,6054,6068,6053,100944.20972768642,100993.46809358009,3.5725618278077036,3.5500094529379416
v5_a_baseline,2022-09-27 20:00:00+00:00,19074.48434,2022-09-28 16:00:00+00:00,19493.898,20827.11313844862,0.2881199606641653,5495.739677730036,0.05441678339670155,504.96734046790044,-125.28637554228668,-0.24810787847427299,close_above_ema21,ema21_reclaim,6,1.0,2022-09-27 16:00:00+00:00,6100,6105,6099,100993.46809358009,100868.1817180378,2.198295871092015,2.2466324499805004
v5_a_baseline,2022-09-29 16:00:00+00:00,19286.142,2022-09-29 20:00:00+00:00,19408.680959999998,20225.71326361345,0.536777707153974,10352.371082605958,0.10263267272472991,504.34090859018903,-74.08438932471059,-0.1468934763428226,close_above_ema21,ema21_reclaim,2,0.3333333333333333,2022-09-29 12:00:00+00:00,6111,6112,6110,100868.1817180378,100794.09732871309,4.140948433042383,4.167258905836716
v5_a_baseline,2022-10-14 16:00:00+00:00,19358.02762,2022-10-16 20:00:00+00:00,19381.77558,20259.72132039023,0.5589153904762352,10819.499566082046,0.10734259101301469,503.9704866435655,-21.934009229414553,-0.04352240817809524,close_above_ema21,ema21_reclaim,14,2.333333333333333,2022-10-14 12:00:00+00:00,6201,6214,6200,100794.09732871309,100772.16331948368,4.327799826432819,4.333109066567385
