year,strategy_name,year_start_equity,year_end_equity,year_return,trade_count,win_rate,max_drawdown,profit_factor
2021,v5_a_baseline,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731
2022,v5_a_baseline,100154.5922473154,100661.33516912966,0.0050596074572690775,18,0.3888888888888889,-0.007798338629792845,1.269739485444118
2023,v5_a_baseline,100661.33516912966,100418.76577753067,-0.002409757343188601,3,0.0,-0.001955208284157517,0.0
2024,v5_a_baseline,100418.76577753067,101264.8202350897,0.008425262459741845,7,0.42857142857142855,-0.0014371206661497604,4.640889504056737
2025,v5_a_baseline,101264.8202350897,102133.82386810347,0.008581495834351305,15,0.2,-0.012636734970622787,1.4174206762919512
2026,v5_a_baseline,102133.82386810347,103502.07076293645,0.013396608909894026,7,0.14285714285714285,-0.009374577451656818,2.396925354750747
2021,v5_b_close_below_ema21,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731
2022,v5_b_close_below_ema21,100154.5922473154,100786.36462466045,0.006307972137562956,17,0.4117647058823529,-0.007798338629792845,1.3602698447283652
2023,v5_b_close_below_ema21,100786.36462466045,100543.4939424129,-0.00240975734318849,3,0.0,-0.001955208284157406,0.0
2024,v5_b_close_below_ema21,100543.4939424129,101390.81543915362,0.008427412491016417,6,0.5,-0.0014371206661496494,4.645169326426037
2025,v5_b_close_below_ema21,101390.81543915362,102441.98842200114,0.010367536529759525,13,0.23076923076923078,-0.010888268456238914,1.5516119130837338
2026,v5_b_close_below_ema21,102441.98842200114,103903.72381707713,0.014268908848728001,6,0.16666666666666666,-0.008521878234096003,2.636761728658353
2021,v5_c_rsi_rebound,100000.0,100201.65243899029,0.0020165243899028518,1,1.0,0.0,999.0
2022,v5_c_rsi_rebound,100201.65243899029,100314.30487588052,0.0011242572766834158,11,0.36363636363636365,-0.006288073094014912,1.1175703716692669
2023,v5_c_rsi_rebound,100314.30487588052,100140.22244854359,-0.0017353699210927997,2,0.0,-0.001280513579416942,0.0
2024,v5_c_rsi_rebound,100140.22244854359,101129.26506222293,0.009876576958749439,5,0.6,-2.1320634961963236e-06,12.389556157052509
2025,v5_c_rsi_rebound,101129.26506222293,101555.64611899848,0.004216198511016733,11,0.18181818181818182,-0.009627606931882027,1.347277276399007
2026,v5_c_rsi_rebound,101555.64611899848,103161.52738254721,0.015812821097775487,6,0.16666666666666666,-0.007012657943991085,3.2042290617076623
2021,v5_d_close_and_rsi,100000.0,100201.65243899029,0.0020165243899028518,1,1.0,0.0,999.0
2022,v5_d_close_and_rsi,100201.65243899029,100438.90329194073,0.0023677339362730976,10,0.4,-0.005053803143524549,1.2846195522167991
2023,v5_d_close_and_rsi,100438.90329194073,100264.60464026037,-0.0017353699210925777,2,0.0,-0.001280513579416831,0.0
2024,v5_d_close_and_rsi,100264.60464026037,101255.09160651313,0.009878730084325715,4,0.75,0.0,12.420093084229716
2025,v5_d_close_and_rsi,101255.09160651313,101862.06615887157,0.0059945089449644495,9,0.2222222222222222,-0.007873811720553903,1.5784856326785348
2026,v5_d_close_and_rsi,101862.06615887157,103561.85891444405,0.016687200836092986,5,0.2,-0.006157925660378982,3.6489824046639527
2021,v5_e_close_rsi_ema55,100000.0,100201.65243899029,0.0020165243899028518,1,1.0,0.0,999.0
2022,v5_e_close_rsi_ema55,100201.65243899029,100438.90329194073,0.0023677339362730976,10,0.4,-0.005053803143524549,1.2846195522167991
2023,v5_e_close_rsi_ema55,100438.90329194073,100264.60464026037,-0.0017353699210925777,2,0.0,-0.001280513579416831,0.0
2024,v5_e_close_rsi_ema55,100264.60464026037,101246.84716581806,0.009796503253385325,3,0.6666666666666666,0.0,12.325036527835787
2025,v5_e_close_rsi_ema55,101246.84716581806,101853.772296803,0.0059945089449644495,9,0.2222222222222222,-0.007873811720554014,1.5784856326785348
2026,v5_e_close_rsi_ema55,101853.772296803,103553.42665103343,0.016687200836092986,5,0.2,-0.006157925660378871,3.6489824046639514
2022,v5_f_close_breakdown,100000.0,101600.60841545273,0.01600608415452731,5,0.8,-0.003497801576992088,5.497392722369054
2023,v5_f_close_breakdown,101600.60841545273,101432.41989094806,-0.001655388950201342,2,0.0,-0.0012004961654313862,0.0
2024,v5_f_close_breakdown,101432.41989094806,101325.53748398402,-0.0010537302282539462,1,0.0,0.0,0.0
2025,v5_f_close_breakdown,101325.53748398402,103698.16937829733,0.02341593198741565,4,0.5,-0.001721600510178778,9.31865920316988
