strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,exit_rule_name,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee,signal_time,is_strong_regime,risk_schedule_name,risk_multiplier,cost_scenario_name
v5_a_baseline,2021-05-21 16:00:00+00:00,36820.6344,2021-05-24 12:00:00+00:00,37592.517,45355.07055967795,0.02929308923548546,1078.5901291863856,0.021571802583727713,250.0,-23.48274231482,-0.09393096925928,close_above_ema21,ema21_reclaim,18,3.0,2021-05-21 12:00:00+00:00,3135,3152,3134,100000.0,99976.51725768518,0.4314360516745543,0.4404803820270016,2021-05-21 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2021-12-16 16:00:00+00:00,48583.38138,2021-12-19 04:00:00+00:00,47721.64242,50624.55914755388,0.3673486412362881,17847.039136607378,0.11900820730136993,749.8238794326388,302.4076282015095,0.40330487798058534,close_above_ema21,ema21_reclaim,16,2.6666666666666665,2021-12-16 12:00:00+00:00,4389,4404,4388,99976.51725768518,100278.92488588669,7.1388156546429515,7.012192200220404,2021-12-16 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2021-12-31 20:00:00+00:00,45706.75682,2022-01-02 00:00:00+00:00,47732.74464,49557.17122790293,0.19532753022648439,8927.787924313123,0.05935303577478238,752.0919366441502,-403.03171996784863,-0.5358809213753634,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2021-12-31 16:00:00+00:00,4480,4487,4479,100278.92488588669,99875.89316591884,3.5711151697252492,3.729407648585064,2021-12-31 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-01-03 16:00:00+00:00,46687.96054000001,2022-01-09 20:00:00+00:00,42690.43638,48792.70291031642,0.3558959088336225,16616.05414797161,0.11091134287609113,749.0691987443913,1409.978731686792,1.8823077147615117,close_above_ema21,ema21_reclaim,38,6.333333333333333,2022-01-03 12:00:00+00:00,4497,4534,4496,99875.89316591884,101285.87189760563,6.646421659188643,6.077340661585617,2022-01-03 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-01-11 12:00:00+00:00,41811.636,2022-01-11 20:00:00+00:00,42972.39276,43697.848285488115,0.13424505910186396,5613.005545965622,0.1108349158832351,253.21467974401406,-160.37859462980077,-0.6333700510252194,close_above_ema21,ema21_reclaim,3,0.5,2022-01-11 08:00:00+00:00,4544,4546,4543,101285.87189760563,101125.49330297582,2.245202218386249,2.3075325623258847,2022-01-11 08:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2022-01-26 20:00:00+00:00,37566.78514000001,2022-01-28 00:00:00+00:00,37167.9321,40035.38062126972,0.30723591837015607,11541.865732702234,0.07608939055636127,758.4411997723187,113.35750424498522,0.14946116360637415,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2022-01-26 16:00:00+00:00,4636,4643,4635,101125.49330297582,101238.8508072208,4.616746293080894,4.567729501065242,2022-01-26 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-02-23 20:00:00+00:00,37610.57638,2022-02-25 00:00:00+00:00,38341.36674,40254.86242481025,0.28714419249171713,10799.658583783148,0.07111669415231298,759.2913810541561,-218.56587155307867,-0.2878550672465615,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2022-02-23 16:00:00+00:00,4804,4811,4803,101238.8508072208,101020.28493566773,4.31986343351326,4.403800316634432,2022-02-23 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-03-07 20:00:00+00:00,37297.93892,2022-03-08 12:00:00+00:00,38992.69698,40640.66902596622,0.22665668869443703,8453.827330734566,0.055789635623631935,757.652137017508,-391.04496318240285,-0.5161273149993986,close_above_ema21,ema21_reclaim,5,0.8333333333333333,2022-03-07 16:00:00+00:00,4876,4880,4875,101020.28493566773,100629.23997248533,3.3815309322938267,3.5351822323009503,2022-03-07 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-04-26 16:00:00+00:00,38542.48996,2022-04-28 04:00:00+00:00,39350.3685,41585.07511354703,0.08268399641598553,3186.8471017157985,0.06333839155671186,251.57309993121333,-69.37482343780646,-0.27576407595555863,close_above_ema21,ema21_reclaim,10,1.6666666666666665,2022-04-26 12:00:00+00:00,5175,5184,5174,100629.23997248533,100559.86514904753,1.2747388406863196,1.301458291208684,2022-04-26 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2022-04-29 12:00:00+00:00,38744.2496,2022-05-02 04:00:00+00:00,38684.63538,41193.18976923885,0.3079695445774275,11932.048904306179,0.07910411631665554,754.1989886178566,8.82106880596808,0.011695943562763923,close_above_ema21,ema21_reclaim,17,2.833333333333333,2022-04-29 08:00:00+00:00,5192,5208,5191,100559.86514904753,100568.6862178535,4.772819561722472,4.765475816048975,2022-04-29 08:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2022-05-05 16:00:00+00:00,36892.62,2022-05-13 04:00:00+00:00,30580.81494,40820.268602951466,0.06401329165641265,2361.618044029203,0.04696527582976331,251.42171554463374,402.31173951625163,1.6001471418041895,close_above_ema21,ema21_reclaim,46,7.666666666666666,2022-05-05 12:00:00+00:00,5229,5274,5228,100568.6862178535,100970.99795736975,0.9446472176116811,0.7830314503380006,2022-05-05 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2022-07-13 16:00:00+00:00,19452.208779999997,2022-07-14 00:00:00+00:00,20235.64632,20594.801726520665,0.22092512969040828,4297.481747486398,0.08512309147030135,252.42749489342438,-176.58825794287563,-0.6995603153984146,close_above_ema21,ema21_reclaim,3,0.5,2022-07-13 12:00:00+00:00,5643,5645,5642,100970.99795736975,100794.40969942688,1.7189926989945592,1.7882251150460935,2022-07-13 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2022-08-26 16:00:00+00:00,20774.04436,2022-08-30 00:00:00+00:00,20290.95738,22269.557153680158,0.16849472991032055,3500.316993583218,0.06945458590454191,251.9860242485672,78.62991566751317,0.31204078044403794,close_above_ema21,ema21_reclaim,21,3.5,2022-08-26 12:00:00+00:00,5907,5927,5906,100794.40969942688,100873.03961509439,1.4001267974332874,1.3675677533459702,2022-08-26 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
