编号,币种,策略,方向,本波第几次,开仓时间,开仓价,平仓时间,平仓价,成交数量,名义仓位,风险金额,手续费,滑点成本,盈亏,累计利润,收益率,R倍数,平仓原因,资金占用前权益,平仓后权益,费率口径
1,BTC,BTC 动态委托做多 最佳参数,多头,1,2019-12-24 23:00:00,7351.6,2019-12-24 23:00:00,7205.8,0.69,5072.6,99.08,1.9,1.52,-102.5,-102.5,-1.03,-1.0345,止损,10000.0,9897.5,开仓 Maker / 平仓 Taker
2,BTC,BTC 均线斜率做空 最佳参数,空头,0,2019-12-25 01:00:00,7228.4,2019-12-27 00:00:00,7336.2,0.58,4192.47,99.76,3.04,2.61,-65.57,-168.07,-0.66,-0.6572,斜率转正平仓,9897.5,9831.93,双边 Taker
3,BTC,BTC 动态委托做多 最佳参数,多头,1,2019-12-27 04:00:00,7250.1,2019-12-27 19:00:00,7140.7,0.93,6742.59,99.7,2.53,2.05,-104.28,-272.35,-1.06,-1.0459,止损,9831.93,9727.66,开仓 Maker / 平仓 Taker
4,BTC,BTC 动态委托做多 最佳参数,多头,1,2019-12-30 08:00:00,7330.6,2019-12-31 00:00:00,7239.4,1.12,8210.27,99.68,3.09,2.46,-105.24,-377.59,-1.08,-1.0557,止损,9727.66,9622.42,开仓 Maker / 平仓 Taker
5,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-01 01:00:00,7166.1,2020-01-01 11:00:00,7244.4,1.35,9674.24,99.77,7.0,5.94,-112.71,-490.3,-1.17,-1.1297,止损,9622.42,9509.71,双边 Taker
6,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-02 15:00:00,7110.5,2020-01-02 18:00:00,7167.7,1.89,13438.84,99.79,9.71,8.32,-117.82,-608.12,-1.24,-1.1807,止损,9509.71,9391.89,双边 Taker
7,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-03 00:00:00,7054.5,2020-01-03 12:00:00,7129.4,1.41,9946.84,99.41,7.2,6.2,-112.81,-720.93,-1.2,-1.1348,止损,9391.89,9279.08,双边 Taker
8,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-01-03 02:00:00,127.47,2020-01-03 12:00:00,129.24,59.17,7542.4,100.0,5.47,4.73,-110.2,-831.13,-1.17,-1.102,止损,9391.89,9168.88,双边 Taker
9,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-01-06 06:00:00,7368.8,2020-01-07 23:00:00,7791.2,1.42,10463.7,99.54,4.14,3.41,595.66,-235.47,6.5,5.984,6R,9168.88,9764.55,开仓 Maker / 平仓 Taker
10,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-01-06 06:00:00,134.58,2020-01-07 23:00:00,139.44,62.11,8358.76,100.0,3.26,3.11,298.59,63.12,3.26,2.986,3R,9168.88,10063.14,开仓 Maker / 平仓 Taker
