mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,21,0,1,-,-,262,24.43,-3514.7636,-35.15,-0.1354,6822.1657,51.27,0.8728,2.7003,6485.24,9561.4046,2811.5376,6749.8670,0,262,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,21,0,1.5,-,-,165,26.67,-1644.2529,-16.44,-0.1014,3482.3233,29.42,0.8894,2.4458,8355.75,3692.0689,1085.6858,2606.3831,0,165,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,21,0,2,-,-,116,23.28,-945.7297,-9.46,-0.0838,2297.2271,20.24,0.8968,2.9562,9054.27,1875.0407,551.3842,1323.6566,0,116,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,55,0,1,-,-,191,18.32,-6869.7313,-68.70,-0.3615,10492.9369,77.02,0.6884,3.0685,3130.27,7195.5043,2116.2903,5079.2140,0,191,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,55,0,1.5,-,-,133,26.32,-341.1986,-3.41,-0.0270,2648.8505,21.99,0.9727,2.7235,9658.80,3198.8146,940.5253,2258.2894,0,133,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,55,0,2,-,-,109,25.69,-618.2923,-6.18,-0.0559,2789.8177,23.07,0.9329,2.6988,9381.71,1893.5433,556.7895,1336.7538,0,109,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,21,1,1,-,-,161,28.57,2304.6676,23.05,0.1431,3064.6117,19.94,1.1400,2.8500,12304.67,6223.1914,1829.4475,4393.7439,0,161,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,21,1,1.5,-,-,128,31.25,1946.0477,19.46,0.1512,1794.2122,13.06,1.1804,2.5969,11946.05,3080.3513,905.4535,2174.8978,0,128,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,21,1,2,-,-,103,25.24,-117.9714,-1.18,-0.0141,1837.3774,15.71,0.9859,2.9197,9882.03,1788.2234,525.7712,1262.4522,0,103,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,55,1,1,-,-,164,19.51,-5170.6849,-51.71,-0.3175,9191.6369,65.56,0.7291,3.0077,4829.32,6390.2379,1879.3526,4510.8853,0,164,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,55,1,1.5,-,-,125,25.60,-1259.5628,-12.60,-0.1035,3611.0983,29.24,0.8954,2.6023,8740.44,3097.6858,910.8894,2186.7964,0,125,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓1
