mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,21,1,1,-,-,161,28.57,2304.6676,23.05,0.1431,3064.6117,19.94,1.1400,2.8500,12304.67,6223.1914,1829.4475,4393.7439,0,161,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,5m,5分钟,做空,21,1,2,-,-,104,20.19,-2160.1743,-21.60,-0.2087,3940.5524,34.06,0.7547,2.9827,7839.83,1731.0723,509.0935,1221.9788,0,104,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,ETH-USDT-SWAP,5m,5分钟,做多,55,3,2,-,-,108,24.07,170.6773,1.71,0.0159,3057.8812,28.09,1.0199,3.2168,10170.68,1466.5435,431.1630,1035.3805,0,108,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓3
dynamic,ETH-USDT-SWAP,5m,5分钟,做空,55,0,2,-,-,98,20.41,-1538.0243,-15.38,-0.1570,2904.3286,26.03,0.8122,3.1676,8461.98,1276.5786,375.4366,901.1420,0,98,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BNB-USDT-SWAP,5m,5分钟,做多,21,1,2,-,-,121,19.01,-4429.3818,-44.29,-0.3673,5074.1990,48.21,0.5835,2.4861,5570.62,2857.8818,840.7199,2017.1619,0,121,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BNB-USDT-SWAP,5m,5分钟,做空,21,3,2,-,-,131,21.37,-3167.1886,-31.67,-0.2432,4092.0243,37.58,0.7456,2.7426,6832.81,2722.8886,800.8025,1922.0860,0,131,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓3
dynamic,SOL-USDT-SWAP,5m,5分钟,做多,55,0,2,-,-,106,25.47,-1101.2437,-11.01,-0.1039,4290.6309,37.98,0.8726,2.5532,8898.76,1331.9543,391.7268,940.2275,0,106,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,SOL-USDT-SWAP,5m,5分钟,做空,21,2,2,-,-,107,26.17,1395.3055,13.95,0.1304,1803.2896,13.72,1.1633,3.2822,11395.31,1364.1296,401.5068,962.6228,0,107,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,DOGE-USDT-SWAP,5m,5分钟,做多,21,1,1.5,-,-,140,25.00,-1019.5957,-10.20,-0.0728,3476.8416,29.93,0.9145,2.7436,8980.40,2391.6767,703.2890,1688.3876,0,140,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1
dynamic,DOGE-USDT-SWAP,5m,5分钟,做空,21,1,2,-,-,114,23.68,200.7134,2.01,0.0176,2401.6809,19.06,1.0217,3.2921,10200.71,1516.3806,446.1761,1070.2045,0,114,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,15m,15分钟,做多,55,2,1.5,-,-,122,23.77,63.5337,0.64,0.0021,2726.1511,23.13,1.0064,3.2275,10063.53,1536.8523,451.8459,1085.0064,0,122,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓2
dynamic,BTC-USDT-SWAP,15m,15分钟,做空,55,2,2,-,-,90,30.00,3357.1092,33.57,0.3780,846.2350,6.11,1.5705,3.6645,13357.11,684.1438,201.6466,482.4971,0,90,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,ETH-USDT-SWAP,15m,15分钟,做多,21,2,2,-,-,113,26.55,772.2021,7.72,0.0684,1696.6089,15.59,1.0934,3.0250,10772.20,782.5985,230.0114,552.5871,0,113,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,ETH-USDT-SWAP,15m,15分钟,做空,55,2,2,-,-,95,28.42,3129.5790,31.30,0.3298,1534.8713,11.69,1.4650,3.6897,13129.58,632.0074,186.2828,445.7246,0,95,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,BNB-USDT-SWAP,15m,15分钟,做多,55,2,2,-,-,98,27.55,1911.0549,19.11,0.1951,1612.9106,12.54,1.2764,3.3566,11911.05,960.2451,282.1210,678.1241,0,98,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,BNB-USDT-SWAP,15m,15分钟,做空,55,2,2,-,-,92,26.09,2898.5679,28.99,0.3209,1684.6486,12.59,1.4537,4.1189,12898.57,814.9321,240.0791,574.8530,0,92,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,SOL-USDT-SWAP,15m,15分钟,做多,21,2,2,-,-,106,25.47,394.3390,3.94,0.0372,2683.6251,24.26,1.0528,3.0803,10394.34,624.2850,183.5054,440.7797,0,106,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,SOL-USDT-SWAP,15m,15分钟,做空,21,2,2,-,-,110,28.18,3611.2784,36.11,0.3283,2024.1029,14.75,1.5109,3.8503,13611.28,570.0660,168.1092,401.9568,0,110,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,DOGE-USDT-SWAP,15m,15分钟,做多,21,0,1.5,-,-,134,22.39,-382.4847,-3.82,-0.0285,3959.6071,37.63,0.9637,3.3409,9617.52,910.9216,267.8622,643.0595,0,134,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
