mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,55,0,1.5,-,-,133,26.32,-341.1986,-3.41,-0.0270,2648.8505,21.99,0.9727,2.7235,9658.80,3198.8146,940.5253,2258.2894,0,133,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,5m,5分钟,做空,21,0,2,-,-,122,19.67,-3084.8402,-30.85,-0.2557,4475.8507,39.29,0.7011,2.8626,6915.16,1949.5062,573.2640,1376.2422,0,122,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,ETH-USDT-SWAP,5m,5分钟,做多,55,0,2,-,-,110,23.64,-93.8715,-0.94,-0.0084,3057.8812,28.46,0.9894,3.1964,9906.13,1507.0613,443.1037,1063.9576,0,110,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,ETH-USDT-SWAP,5m,5分钟,做空,55,0,2,-,-,98,20.41,-1538.0243,-15.38,-0.1570,2904.3286,26.03,0.8122,3.1676,8461.98,1276.5786,375.4366,901.1420,0,98,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BNB-USDT-SWAP,5m,5分钟,做多,55,0,2,-,-,112,17.86,-4906.1770,-49.06,-0.4384,5681.3833,54.68,0.5245,2.4128,5093.82,2551.7770,750.7719,1801.0051,0,112,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BNB-USDT-SWAP,5m,5分钟,做空,21,0,2,-,-,133,21.05,-3396.3298,-33.96,-0.2572,4323.6898,39.70,0.7321,2.7455,6603.67,2744.2298,807.0574,1937.1724,0,133,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,SOL-USDT-SWAP,5m,5分钟,做多,55,0,2,-,-,106,25.47,-1101.2437,-11.01,-0.1039,4290.6309,37.98,0.8726,2.5532,8898.76,1331.9543,391.7268,940.2275,0,106,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,SOL-USDT-SWAP,5m,5分钟,做空,21,0,2,-,-,110,24.55,1069.5938,10.70,0.0972,1906.9905,14.77,1.1205,3.4446,11069.59,1372.8994,404.0526,968.8468,0,110,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,DOGE-USDT-SWAP,5m,5分钟,做多,55,0,2,-,-,106,21.70,-1519.0695,-15.19,-0.1433,2851.2922,28.44,0.8070,2.9123,8480.93,1304.6176,383.7338,920.8838,0,106,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,DOGE-USDT-SWAP,5m,5分钟,做空,21,0,2,-,-,134,20.15,-1435.7804,-14.36,-0.1071,2897.5088,25.28,0.8739,3.4631,8564.22,1764.3584,518.9637,1245.3947,0,134,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,15m,15分钟,做多,55,0,1.5,-,-,124,23.39,-153.8604,-1.54,-0.0159,2834.6392,24.05,0.9848,3.2261,9846.14,1552.0844,456.3474,1095.7371,0,124,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,15m,15分钟,做空,21,0,2,-,-,117,29.06,2738.5873,27.39,0.2450,1254.6985,9.54,1.3413,3.2744,12738.59,885.8977,260.9419,624.9558,0,117,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,ETH-USDT-SWAP,15m,15分钟,做多,21,0,1.5,-,-,151,25.83,122.0960,1.22,0.0080,2002.5562,19.57,1.0110,2.9034,10122.10,1415.5564,416.1773,999.3791,0,151,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
dynamic,ETH-USDT-SWAP,15m,15分钟,做空,55,0,2,-,-,101,27.72,2790.1644,27.90,0.2765,1534.8713,12.00,1.3839,3.6079,12790.16,658.9056,194.1610,464.7446,0,101,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BNB-USDT-SWAP,15m,15分钟,做多,55,0,2,-,-,103,26.21,1347.5419,13.48,0.1294,1612.9106,13.12,1.1802,3.3221,11347.54,1006.1581,295.6796,710.4785,0,103,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
