symbol,bar,bar_label,direction,max_entries_per_trend,max_entries_label,dynamic_param,dynamic_max_entries_per_trend,dynamic_max_entries_label,dynamic_pnl,dynamic_max_drawdown,fixed_param,fixed_max_entries_per_trend,fixed_max_entries_label,fixed_pnl,fixed_max_drawdown,winner,pnl_gap
BTC-USDT-SWAP,5m,5分钟,做多,0,不限(0),EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0),0,不限(0),-341.1986,2648.8505,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-213.7962,2151.6578,fixed,127.4024
BTC-USDT-SWAP,5m,5分钟,做空,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-3084.8402,4475.8507,EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-3175.2114,4011.1687,dynamic,90.3713
ETH-USDT-SWAP,5m,5分钟,做多,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-93.8715,3057.8812,EMA21挂单 | SL x2 | TP x4 | 每波开仓不限(0),0,不限(0),-1587.3902,3548.5177,dynamic,1493.5187
ETH-USDT-SWAP,5m,5分钟,做空,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-1538.0243,2904.3286,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-2425.2282,2966.0929,dynamic,887.2039
BNB-USDT-SWAP,5m,5分钟,做多,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-4906.1770,5681.3833,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-4505.3900,4910.6796,fixed,400.7871
BNB-USDT-SWAP,5m,5分钟,做空,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-3396.3298,4323.6898,EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-4201.5841,5081.4741,dynamic,805.2543
SOL-USDT-SWAP,5m,5分钟,做多,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-1101.2437,4290.6309,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-925.5515,3744.4313,fixed,175.6922
SOL-USDT-SWAP,5m,5分钟,做空,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),1069.5938,1906.9905,EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-398.3589,1866.3088,dynamic,1467.9527
DOGE-USDT-SWAP,5m,5分钟,做多,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-1519.0695,2851.2922,EMA55挂单 | SL x2 | TP x4 | 每波开仓不限(0),0,不限(0),-1211.3022,2638.9372,fixed,307.7673
DOGE-USDT-SWAP,5m,5分钟,做空,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-1435.7804,2897.5088,EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-3387.1346,3847.8687,dynamic,1951.3542
BTC-USDT-SWAP,15m,15分钟,做多,0,不限(0),EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0),0,不限(0),-153.8604,2834.6392,EMA21挂单 | SL x2 | TP x4 | 每波开仓不限(0),0,不限(0),-710.3870,2430.9554,dynamic,556.5266
