mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
fixed,BTC-USDT-SWAP,5m,5分钟,做多,21,1,2,3,6,97,34.02,766.4532,7.66,0.0788,1575.9487,12.77,1.0949,2.1235,10766.45,1704.6358,501.1018,1203.5340,33,64,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,BTC-USDT-SWAP,5m,5分钟,做空,21,1,2,3,6,98,26.53,-2013.8840,-20.14,-0.2047,3081.3771,27.84,0.7760,2.1489,7986.12,1622.8960,477.2810,1145.6151,26,72,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,ETH-USDT-SWAP,5m,5分钟,做多,21,2,2,2,4,125,37.60,-817.9302,-8.18,-0.0654,2713.3879,24.55,0.9125,1.5143,9182.07,1518.1933,446.4533,1071.7400,47,78,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | TP x4 | 每波开仓2
fixed,ETH-USDT-SWAP,5m,5分钟,做空,55,0,2,3,6,93,23.66,-2425.2282,-24.25,-0.2609,2966.0929,28.14,0.7154,2.3088,7574.77,1210.6712,355.9512,854.7201,22,71,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,BNB-USDT-SWAP,5m,5分钟,做多,21,1,2,2,4,133,39.85,-2319.7347,-23.20,-0.1742,3181.3659,30.02,0.7899,1.1923,7680.27,3097.2347,910.8690,2186.3656,53,80,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x4 | 每波开仓1
fixed,BNB-USDT-SWAP,5m,5分钟,做空,21,3,2,3,6,131,25.95,-3873.8864,-38.74,-0.2974,4751.1520,44.17,0.7038,2.0079,6126.11,2757.8864,811.0249,1946.8615,34,97,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA21挂单 | SL x2 | TP x6 | 每波开仓3
fixed,SOL-USDT-SWAP,5m,5分钟,做多,55,2,2,3,6,105,28.57,-681.6227,-6.82,-0.0649,3880.3343,34.75,0.9254,2.3135,9318.38,1337.2918,393.2517,944.0401,30,75,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | TP x6 | 每波开仓2
fixed,SOL-USDT-SWAP,5m,5分钟,做空,21,3,2,3,6,124,29.84,-121.0396,-1.21,-0.0098,1866.3088,15.89,0.9885,2.3243,9878.96,1559.0594,458.6991,1100.3602,37,87,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA21挂单 | SL x2 | TP x6 | 每波开仓3
fixed,DOGE-USDT-SWAP,5m,5分钟,做多,21,1,2,2,4,122,38.52,-568.4780,-5.68,-0.0466,1512.3291,13.82,0.9376,1.4961,9431.52,1537.6606,452.1505,1085.5101,47,75,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x4 | 每波开仓1
fixed,DOGE-USDT-SWAP,5m,5分钟,做空,21,1,2,3,6,111,27.03,-1446.2363,-14.46,-0.1303,2170.1926,20.24,0.8531,2.3034,8553.76,1483.2858,436.2644,1047.0213,30,81,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,BTC-USDT-SWAP,15m,15分钟,做多,21,3,2,2,4,137,37.23,-266.2449,-2.66,-0.0217,2308.4033,21.18,0.9720,1.6390,9733.76,1166.5309,343.0020,823.5289,51,86,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA21挂单 | SL x2 | TP x4 | 每波开仓3
