mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
fixed,BTC-USDT-SWAP,5m,5分钟,做多,55,0,2,3,6,111,31.53,-213.7962,-2.14,-0.0173,2151.6578,18.26,0.9778,2.1231,9786.20,1927.1402,566.6245,1360.5157,35,76,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,BTC-USDT-SWAP,5m,5分钟,做空,21,0,2,3,6,124,25.00,-3175.2114,-31.75,-0.2580,4011.1687,37.02,0.7238,2.1713,6824.79,1990.9864,585.4589,1405.5276,31,93,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,ETH-USDT-SWAP,5m,5分钟,做多,21,0,2,2,4,142,35.92,-1587.3902,-15.87,-0.1117,3548.5177,31.25,0.8538,1.5235,8412.61,1687.4894,496.3098,1191.1796,51,91,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x4 | 每波开仓不限(0)
fixed,ETH-USDT-SWAP,5m,5分钟,做空,55,0,2,3,6,93,23.66,-2425.2282,-24.25,-0.2609,2966.0929,28.14,0.7154,2.3088,7574.77,1210.6712,355.9512,854.7201,22,71,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,BNB-USDT-SWAP,5m,5分钟,做多,55,0,2,3,6,107,23.36,-4505.3900,-45.05,-0.4213,4910.6796,48.65,0.5978,1.9608,5494.61,2366.0900,696.1353,1669.9546,25,82,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,BNB-USDT-SWAP,5m,5分钟,做空,21,0,2,3,6,134,25.37,-4201.5841,-42.02,-0.3157,5081.4741,47.23,0.6866,2.0195,5798.42,2778.7841,817.1388,1961.6453,34,100,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,5m,5分钟,做多,55,0,2,3,6,104,27.88,-925.5515,-9.26,-0.0890,3744.4313,33.88,0.8983,2.3232,9074.45,1304.0484,383.5036,920.5449,29,75,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,5m,5分钟,做空,21,0,2,3,6,123,29.27,-398.3589,-3.98,-0.0324,1866.3088,16.27,0.9621,2.3251,9601.64,1543.1842,453.9989,1089.1853,36,87,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,DOGE-USDT-SWAP,5m,5分钟,做多,55,0,2,2,4,128,36.72,-1211.3022,-12.11,-0.0946,2638.9372,24.80,0.8759,1.5095,8788.70,1570.9536,462.0071,1108.9465,47,81,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x4 | 每波开仓不限(0)
fixed,DOGE-USDT-SWAP,5m,5分钟,做空,21,0,2,3,6,137,24.09,-3387.1346,-33.87,-0.2472,3847.8687,36.78,0.7312,2.3044,6612.87,1823.1003,536.0404,1287.0599,33,104,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,BTC-USDT-SWAP,15m,15分钟,做多,21,0,2,2,4,141,36.17,-710.3870,-7.10,-0.0532,2430.9554,22.30,0.9286,1.6387,9289.61,1198.1480,352.3448,845.8032,51,90,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x4 | 每波开仓不限(0)
fixed,BTC-USDT-SWAP,15m,15分钟,做空,55,0,2,3,6,98,30.61,977.1817,9.77,0.0984,1291.7000,10.57,1.1312,2.5642,10977.18,760.6833,223.9144,536.7689,30,68,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,ETH-USDT-SWAP,15m,15分钟,做多,55,0,2,3,6,107,28.04,15.9155,0.16,0.0017,1498.4134,13.56,1.0019,2.5714,10015.92,805.6580,236.8713,568.7868,30,77,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,ETH-USDT-SWAP,15m,15分钟,做空,55,0,2,3,6,98,29.59,864.8476,8.65,0.0883,1331.1717,11.77,1.1149,2.6528,10864.85,588.0404,173.1069,414.9335,29,69,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,BNB-USDT-SWAP,15m,15分钟,做多,55,0,2,3,6,104,29.81,397.5949,3.98,0.0355,1714.2530,14.77,1.0482,2.4684,10397.59,1018.4051,299.3810,719.0241,31,73,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,BNB-USDT-SWAP,15m,15分钟,做空,55,0,2,3,6,92,30.43,722.3659,7.22,0.0790,1607.8210,14.14,1.1016,2.5179,10722.37,801.9341,236.0244,565.9097,28,64,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,15m,15分钟,做多,21,0,2,3,6,107,28.04,296.8798,2.97,0.0277,3124.8069,26.87,1.0352,2.6571,10296.88,625.5628,183.8914,441.6714,30,77,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,15m,15分钟,做空,21,0,2,2,4,158,39.24,1342.5580,13.43,0.0850,1565.2040,13.36,1.1280,1.7466,11342.56,884.8113,260.4744,624.3368,62,96,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x4 | 每波开仓不限(0)
fixed,DOGE-USDT-SWAP,15m,15分钟,做多,21,0,1.5,3,4.5,136,24.26,-1850.8359,-18.51,-0.1361,4083.8252,38.99,0.8375,2.6141,8149.16,912.3533,268.4386,643.9147,33,103,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0)
fixed,DOGE-USDT-SWAP,15m,15分钟,做空,21,0,2,2,4,169,39.05,1417.8339,14.18,0.0839,954.9000,7.87,1.1261,1.7574,11417.83,920.6962,271.0406,649.6556,66,103,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x4 | 每波开仓不限(0)
fixed,BTC-USDT-SWAP,1H,1小时,做多,55,0,2,3,6,102,26.47,-139.3045,-1.39,-0.0153,1400.9421,13.56,0.9817,2.7270,9860.70,453.2115,133.2643,319.9473,27,75,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,BTC-USDT-SWAP,1H,1小时,做空,21,0,1.5,3,4.5,180,27.22,172.9092,1.73,0.0010,2011.9648,18.14,1.0129,2.7078,10172.91,950.3588,279.6362,670.7225,49,131,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0)
fixed,ETH-USDT-SWAP,1H,1小时,做多,55,0,2,3,6,110,31.82,2489.1091,24.89,0.2270,827.1228,6.54,1.3190,2.8264,12489.11,314.9735,92.3424,222.6311,35,75,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,ETH-USDT-SWAP,1H,1小时,做空,21,0,1.5,3,4.5,145,26.21,-90.0116,-0.90,-0.0059,2520.8457,24.14,0.9920,2.7933,9909.99,492.6229,144.9317,347.6912,38,107,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0)
fixed,BNB-USDT-SWAP,1H,1小时,做多,55,0,2,3,6,107,30.84,1712.7998,17.13,0.1656,1232.3622,9.68,1.2294,2.7569,11712.80,434.4002,127.5374,306.8628,33,74,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,BNB-USDT-SWAP,1H,1小时,做空,55,0,2,1,2,165,52.73,-399.4274,-3.99,-0.0145,1366.7517,13.09,0.9499,0.8516,9600.57,656.5274,193.1235,463.4039,87,78,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x2 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,1H,1小时,做多,55,0,2,3,6,104,27.88,794.8146,7.95,0.0764,858.5057,7.75,1.1020,2.8501,10794.81,252.5435,74.1666,178.3769,29,75,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,1H,1小时,做空,55,0,1,3,3,181,29.28,1630.4188,16.30,0.0901,1821.3643,13.88,1.1176,2.6990,11630.42,909.4320,267.7489,641.6831,53,128,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1 | TP x3 | 每波开仓不限(0)
fixed,DOGE-USDT-SWAP,1H,1小时,做多,55,0,2,2,4,111,32.43,-700.9918,-7.01,-0.0632,1265.0479,12.16,0.9097,1.8953,9299.01,247.5916,72.8691,174.7225,36,75,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x4 | 每波开仓不限(0)
