分类,名称,方向,交易次数,胜率,收益率,最大回撤,盈亏比,Profit Factor,平均R,最终收益,备注
组合总览,组合合计,合计,2007,28.2,10.58,120.82,2.5702,1.0095,0.0218,10577.66,平均资金利用率 22.84% | 峰值资金利用率 179.14%
方向统计,多头,多头,266,16.92,140.17,33.75,8.2795,1.6859,,140171.42,
方向统计,空头,空头,1741,29.93,-129.59,173.58,2.0068,0.857,,-129593.76,
方向统计,合计,合计,2007,28.2,10.58,120.82,2.5702,1.0095,,10577.66,
币种统计,BTC,多头,37,13.51,12.67,4.99,11.039,1.7248,0.2876,12666.3,
币种统计,BTC,空头,85,22.35,-20.99,28.61,2.202,0.6339,-0.1968,-20993.34,
币种统计,BTC,合计,122,19.67,-8.33,26.32,3.6289,0.8887,-0.0499,-8327.03,
币种统计,DOGE,多头,127,18.11,105.04,31.56,8.9589,1.9813,0.7305,105037.19,
币种统计,DOGE,空头,668,30.84,-14.27,66.92,2.13,0.9498,-0.002,-14271.45,
币种统计,DOGE,合计,795,28.81,90.77,39.42,3.0453,1.2321,0.115,90765.74,
币种统计,ETH,多头,42,11.9,-2.56,9.86,6.5108,0.8798,0.0141,-2556.79,
币种统计,ETH,空头,204,30.88,-18.48,35.08,1.9677,0.8792,-0.059,-18481.88,
币种统计,ETH,合计,246,27.64,-21.04,44.92,2.3016,0.8793,-0.0465,-21038.68,
币种统计,SOL,多头,60,20.0,25.02,22.87,5.7088,1.4272,0.3803,25024.72,
币种统计,SOL,空头,784,29.72,-75.85,93.52,1.9294,0.8159,-0.0675,-75847.09,
币种统计,SOL,合计,844,29.03,-50.82,80.67,2.1808,0.892,-0.0357,-50822.38,
策略统计,DOGE 动态委托做多 最佳参数,多头,127,18.11,105.04,31.56,8.9589,1.9813,0.7305,105037.19,DOGE
策略统计,SOL 动态委托做多 最佳参数,多头,60,20.0,25.02,22.87,5.7088,1.4272,0.3803,25024.72,SOL
策略统计,BTC 动态委托做多 最佳参数,多头,37,13.51,12.67,4.99,11.039,1.7248,0.2876,12666.3,BTC
策略统计,ETH 动态委托做多 最佳参数,多头,42,11.9,-2.56,9.86,6.5108,0.8798,0.0141,-2556.79,ETH
策略统计,DOGE 均线斜率做空 最佳参数,空头,668,30.84,-14.27,66.92,2.13,0.9498,-0.002,-14271.45,DOGE
策略统计,ETH 均线斜率做空 最佳参数,空头,204,30.88,-18.48,35.08,1.9677,0.8792,-0.059,-18481.88,ETH
策略统计,BTC 均线斜率做空 最佳参数,空头,85,22.35,-20.99,28.61,2.202,0.6339,-0.1968,-20993.34,BTC
策略统计,SOL 均线斜率做空 最佳参数,空头,784,29.72,-75.85,93.52,1.9294,0.8159,-0.0675,-75847.09,SOL
拒绝信号,超过单币种暴露上限,,4422,,,,,,,,未成交统计
拒绝信号,超过组合总暴露上限,,1655,,,,,,,,未成交统计
