期间,方向,币种,项目,交易次数,胜率,Profit Factor,当期利润U,累计利润U
2019-12,合计,合计,总项,4,0.0,0.0,-377.58,-377.58
2019-12,多头,BTC,分项,3,0.0,0.0,-312.01,-312.01
2019-12,多头,合计,总项,3,0.0,0.0,-312.01,-312.01
2019-12,空头,BTC,分项,1,0.0,0.0,-65.57,-65.57
2019-12,空头,合计,总项,1,0.0,0.0,-65.57,-65.57
2020-01,合计,合计,总项,25,32.0,1.9404,1235.57,857.99
2020-01,多头,BTC,分项,5,40.0,4.7661,784.51,472.5
2020-01,多头,ETH,分项,8,50.0,4.7224,1178.9,1178.9
2020-01,多头,合计,总项,13,46.15,4.7397,1963.41,1651.4
2020-01,空头,BTC,分项,7,14.29,0.0708,-412.58,-478.15
2020-01,空头,ETH,分项,5,20.0,0.0859,-315.26,-315.26
2020-01,空头,合计,总项,12,16.67,0.0774,-727.84,-793.41
2020-02,合计,合计,总项,29,20.69,1.4378,757.33,1615.32
2020-02,多头,BTC,分项,8,12.5,0.3169,-425.87,46.63
2020-02,多头,ETH,分项,10,20.0,4.5343,1478.63,2657.53
2020-02,多头,合计,总项,18,16.67,2.0105,1052.77,2704.17
2020-02,空头,BTC,分项,4,25.0,0.35,-157.94,-636.09
2020-02,空头,ETH,分项,7,28.57,0.6909,-137.49,-452.75
2020-02,空头,合计,总项,11,27.27,0.5705,-295.44,-1088.85
2020-03,合计,合计,总项,38,34.21,2.9198,3098.73,4714.05
2020-03,多头,BTC,分项,6,16.67,1.9109,93.01,139.64
2020-03,多头,ETH,分项,8,12.5,0.644,-220.39,2437.14
2020-03,多头,合计,总项,14,14.29,0.8234,-127.38,2576.79
2020-03,空头,BTC,分项,13,46.15,5.3122,2112.31,1476.22
2020-03,空头,ETH,分项,11,45.45,3.7631,1113.79,661.04
2020-03,空头,合计,总项,24,45.83,4.6129,3226.11,2137.26
2020-04,合计,合计,总项,27,18.52,1.579,814.3,5528.35
2020-04,多头,BTC,分项,7,28.57,4.187,985.66,1125.3
2020-04,多头,ETH,分项,9,11.11,2.2292,385.5,2822.64
2020-04,多头,合计,总项,16,18.75,3.2013,1371.16,3947.95
2020-04,空头,BTC,分项,6,16.67,0.3918,-278.77,1197.45
2020-04,空头,ETH,分项,5,20.0,0.1448,-278.09,382.95
2020-04,空头,合计,总项,11,18.18,0.2893,-556.86,1580.4
2020-05,合计,合计,总项,26,34.62,2.7265,1255.72,6784.07
2020-05,多头,BTC,分项,5,40.0,5.6604,484.22,1609.52
2020-05,多头,ETH,分项,8,25.0,8.2768,789.04,3611.68
2020-05,多头,合计,总项,13,30.77,6.9966,1273.26,5221.21
2020-05,空头,BTC,分项,8,37.5,1.3786,133.15,1330.6
2020-05,空头,ETH,分项,5,40.0,0.077,-150.69,232.26
2020-05,空头,合计,总项,13,38.46,0.9659,-17.54,1562.86
2020-06,合计,合计,总项,39,10.26,0.4589,-1241.39,5542.68
2020-06,多头,BTC,分项,9,11.11,1.8178,267.99,1877.51
2020-06,多头,ETH,分项,14,0.0,0.0,-859.9,2751.78
2020-06,多头,合计,总项,23,4.35,0.5016,-591.91,4629.3
2020-06,空头,BTC,分项,7,28.57,0.6053,-188.75,1141.85
2020-06,空头,ETH,分项,9,11.11,0.2669,-460.73,-228.47
2020-06,空头,合计,总项,16,18.75,0.4131,-649.48,913.38
2020-07,合计,合计,总项,48,8.33,0.7336,-931.58,4611.1
2020-07,多头,BTC,分项,8,12.5,1.0844,30.79,1908.3
2020-07,多头,DOGE,分项,15,6.67,0.0069,-1448.32,-1448.32
2020-07,多头,ETH,分项,11,9.09,2.6945,1318.41,4070.19
2020-07,多头,合计,总项,34,8.82,0.9619,-99.13,4530.17
2020-07,空头,BTC,分项,3,0.0,0.0,-344.4,797.45
2020-07,空头,DOGE,分项,9,11.11,0.1256,-440.5,-440.5
2020-07,空头,ETH,分项,2,0.0,0.0,-47.56,-276.03
2020-07,空头,合计,总项,14,7.14,0.0707,-832.45,80.93
2020-08,合计,合计,总项,88,12.5,0.906,-595.59,4015.51
2020-08,多头,BTC,分项,7,28.57,1.2414,77.05,1985.35
2020-08,多头,DOGE,分项,30,10.0,1.17,476.91,-971.41
2020-08,多头,ETH,分项,14,14.29,1.7881,659.98,4730.17
2020-08,多头,合计,总项,51,13.73,1.3064,1213.94,5744.11
2020-08,空头,BTC,分项,8,0.0,0.0,-388.04,409.41
2020-08,空头,DOGE,分项,19,15.79,0.3694,-738.21,-1178.71
2020-08,空头,ETH,分项,10,10.0,0.1593,-683.28,-959.31
2020-08,空头,合计,总项,37,10.81,0.237,-1809.53,-1728.6
2020-09,合计,合计,总项,79,16.46,0.4776,-3952.5,63.01
2020-09,多头,BTC,分项,2,100.0,999.0,695.49,2680.84
2020-09,多头,DOGE,分项,30,6.67,0.0484,-4162.56,-5133.97
2020-09,多头,ETH,分项,10,10.0,0.1886,-426.55,4303.62
2020-09,多头,合计,总项,42,11.9,0.2054,-3893.62,1850.49
2020-09,空头,BTC,分项,5,40.0,4.992,802.96,1212.37
2020-09,空头,DOGE,分项,26,11.54,0.3157,-1556.48,-2735.19
2020-09,空头,ETH,分项,6,50.0,4.6567,694.64,-264.67
2020-09,空头,合计,总项,37,21.62,0.9779,-58.88,-1787.48
2020-10,合计,合计,总项,76,6.58,0.0189,-7643.86,-7580.85
2020-10,多头,BTC,分项,9,0.0,0.0,-323.01,2357.83
2020-10,多头,DOGE,分项,29,0.0,0.0,-4435.83,-9569.8
2020-10,多头,ETH,分项,9,0.0,0.0,-434.87,3868.75
2020-10,多头,合计,总项,47,0.0,0.0,-5193.71,-3343.22
2020-10,空头,BTC,分项,2,0.0,0.0,-150.73,1061.64
2020-10,空头,DOGE,分项,18,11.11,0.064,-1690.82,-4426.01
2020-10,空头,ETH,分项,9,33.33,0.0489,-608.59,-873.26
2020-10,空头,合计,总项,29,17.24,0.0566,-2450.14,-4237.62
2020-11,合计,合计,总项,84,16.67,1.2595,1514.43,-6066.42
2020-11,多头,BTC,分项,4,50.0,890.9921,1080.18,3438.01
2020-11,多头,DOGE,分项,30,26.67,1.987,2649.06,-6920.74
2020-11,多头,ETH,分项,10,10.0,1.268,84.4,3953.15
2020-11,多头,合计,总项,44,25.0,2.2712,3813.65,470.43
2020-11,空头,BTC,分项,8,12.5,0.3306,-415.05,646.59
2020-11,空头,DOGE,分项,26,3.85,0.1011,-1579.94,-6005.95
2020-11,空头,ETH,分项,6,16.67,0.3364,-304.24,-1177.5
2020-11,空头,合计,总项,40,7.5,0.1893,-2299.22,-6536.84
2020-12,合计,合计,总项,83,16.87,0.9546,-233.26,-6299.68
2020-12,多头,BTC,分项,5,20.0,4.9935,1182.66,4620.67
2020-12,多头,DOGE,分项,19,10.53,0.4402,-1007.51,-7928.25
2020-12,多头,ETH,分项,9,22.22,4.7764,1183.73,5136.88
2020-12,多头,合计,总项,33,15.15,1.564,1358.88,1829.31
2020-12,空头,BTC,分项,7,14.29,0.323,-316.87,329.72
2020-12,空头,DOGE,分项,35,17.14,0.3952,-1155.07,-7161.02
2020-12,空头,ETH,分项,8,25.0,0.6575,-120.2,-1297.7
2020-12,空头,合计,总项,50,18.0,0.4166,-1592.14,-8128.98
