期间,方向,币种,项目,交易次数,胜率,Profit Factor,当期利润U,累计利润U
2019,合计,合计,总项,4,0.0,0.0,-377.58,-377.58
2019,多头,BTC,分项,3,0.0,0.0,-312.01,-312.01
2019,多头,合计,总项,3,0.0,0.0,-312.01,-312.01
2019,空头,BTC,分项,1,0.0,0.0,-65.57,-65.57
2019,空头,合计,总项,1,0.0,0.0,-65.57,-65.57
2020,合计,合计,总项,642,16.51,0.8691,-5922.1,-6299.68
2020,多头,BTC,分项,75,22.67,2.6557,4932.67,4620.66
2020,多头,DOGE,分项,153,10.46,0.5484,-7928.26,-7928.26
2020,多头,ETH,分项,120,14.17,1.8795,5136.91,5136.91
2020,多头,合计,总项,348,14.37,1.0812,2141.32,1829.31
2020,空头,BTC,分项,78,23.08,1.0852,395.29,329.72
2020,空头,DOGE,分项,133,12.03,0.24,-7161.02,-7161.02
2020,空头,ETH,分项,83,26.51,0.7302,-1297.69,-1297.69
2020,空头,合计,总项,294,19.05,0.5727,-8063.41,-8128.98
2021,合计,合计,总项,1492,24.13,1.3357,23208.12,16908.44
2021,多头,BTC,分项,69,13.04,1.6501,1929.39,6550.05
2021,多头,DOGE,分项,230,15.65,1.6021,9466.15,1537.89
2021,多头,ETH,分项,127,11.81,1.4038,2349.37,7486.28
2021,多头,SOL,分项,183,19.13,1.371,4371.01,4371.01
2021,多头,合计,总项,609,15.6,1.4992,18115.91,19945.22
2021,空头,BTC,分项,137,29.2,1.3591,2230.24,2559.96
2021,空头,DOGE,分项,339,32.45,1.5093,4769.4,-2391.62
2021,空头,ETH,分项,112,28.57,1.0528,350.96,-946.73
2021,空头,SOL,分项,295,28.14,0.7875,-2258.39,-2258.39
2021,空头,合计,总项,883,30.01,1.155,5092.21,-3036.77
2022,合计,合计,总项,1397,24.27,1.1454,10430.6,27339.04
2022,多头,BTC,分项,79,12.66,1.2654,1189.98,7740.03
2022,多头,DOGE,分项,253,15.02,1.048,786.49,2324.38
2022,多头,ETH,分项,108,9.26,0.7967,-1348.04,6138.24
2022,多头,SOL,分项,148,19.59,0.9659,-340.47,4030.54
2022,多头,合计,总项,588,14.8,1.0077,287.97,20233.19
2022,空头,BTC,分项,114,27.19,1.2879,1917.48,4477.44
2022,空头,DOGE,分项,279,31.54,1.1641,1747.7,-643.92
2022,空头,ETH,分项,107,31.78,1.4704,2813.17,1866.44
2022,空头,SOL,分项,309,32.04,1.334,3664.27,1405.88
2022,空头,合计,总项,809,31.15,1.2961,10142.63,7105.86
2023,合计,合计,总项,1294,20.87,1.2357,16923.8,44262.84
2023,多头,BTC,分项,69,17.39,2.1485,4147.29,11887.32
2023,多头,DOGE,分项,281,12.1,0.8895,-2270.96,53.42
2023,多头,ETH,分项,136,12.5,1.4402,3472.19,9610.43
2023,多头,SOL,分项,160,27.5,2.4926,15794.09,19824.63
2023,多头,合计,总项,646,16.56,1.496,21142.61,41375.8
2023,空头,BTC,分项,68,16.18,0.7223,-1383.61,3093.83
2023,空头,DOGE,分项,229,22.27,0.8443,-1480.23,-2124.15
2023,空头,ETH,分项,65,26.15,0.7675,-1002.77,863.67
2023,空头,SOL,分项,286,29.37,0.966,-352.21,1053.67
2023,空头,合计,总项,648,25.15,0.8553,-4218.82,2887.04
2024,合计,合计,总项,1388,24.21,1.3181,22533.44,66796.28
2024,多头,BTC,分项,80,22.5,2.2005,4991.41,16878.73
2024,多头,DOGE,分项,257,15.95,1.5015,8552.84,8606.26
2024,多头,ETH,分项,112,15.18,1.3542,2264.96,11875.39
2024,多头,SOL,分项,185,16.22,1.1203,1520.15,21344.78
2024,多头,合计,总项,634,16.72,1.4306,17329.35,58705.15
2024,空头,BTC,分项,92,27.17,1.1084,550.0,3643.83
2024,空头,DOGE,分项,271,31.37,1.2808,2590.76,466.61
2024,空头,ETH,分项,88,36.36,1.8674,3955.93,4819.6
2024,空头,SOL,分项,303,29.04,0.8387,-1892.6,-838.93
2024,空头,合计,总项,754,30.5,1.1701,5204.09,8091.13
2025,合计,合计,总项,1344,23.88,1.2757,19278.85,86075.13
2025,多头,BTC,分项,100,13.0,0.9321,-350.1,16528.63
2025,多头,DOGE,分项,243,12.76,1.2132,3458.5,12064.76
2025,多头,ETH,分项,118,16.95,1.1859,1232.66,13108.05
2025,多头,SOL,分项,162,17.28,1.3602,3989.15,25333.93
2025,多头,合计,总项,623,14.77,1.2131,8330.21,67035.36
2025,空头,BTC,分项,85,31.76,1.1461,688.53,4332.36
2025,空头,DOGE,分项,260,33.08,1.4813,4847.61,5314.22
2025,空头,ETH,分项,100,37.0,1.6914,3565.09,8384.69
2025,空头,SOL,分项,276,28.62,1.1692,1847.41,1008.48
2025,空头,合计,总项,721,31.76,1.3548,10948.64,19039.77
2026,合计,合计,总项,621,23.35,1.2685,8727.76,94802.89
2026,多头,BTC,分项,39,12.82,0.9056,-175.84,16352.79
2026,多头,DOGE,分项,119,12.61,1.2202,1820.73,13885.49
2026,多头,ETH,分项,52,17.31,1.6023,1422.04,14530.09
2026,多头,SOL,分项,82,14.63,0.9273,-408.32,24925.61
2026,多头,合计,总项,292,14.04,1.1468,2658.61,69693.97
2026,空头,BTC,分项,41,39.02,2.5729,3045.29,7377.65
2026,空头,DOGE,分项,132,29.55,0.8698,-740.8,4573.42
2026,空头,ETH,分项,41,36.59,1.3551,761.39,9146.08
2026,空头,SOL,分项,115,29.57,1.6479,3003.26,4011.74
2026,空头,合计,总项,329,31.61,1.4213,6069.15,25108.92
