session_date,session_date_ts,year,quarter,symbol,entry_time_utc,entry_time_local,next_session_date,temp_day_open_7h,temp_day_high_7h,temp_day_low_7h,temp_day_close_7h,temp_day_color_7h,prev_day_color,changed_bear_to_bull,changed_bull_to_bear,last_hour_change_type,signal_color,last_hour_wick_type,signal_body_ratio,signal_upper_wick_ratio,signal_lower_wick_ratio,signal_close_location,daily_close_location,close_area,signal_volume_ratio_24,volume_bucket,break_prev_23h_high,break_prev_23h_low,close_confirm_up_breakout,close_confirm_down_breakout,failed_up_breakout,failed_down_breakout,breakout_type,trend_regime,prev_day_trend_bucket,prev_day_breakout_bucket,prev_2_days_bullish,prev_2_days_bearish,prev_3_days_bullish,prev_3_days_bearish,big_bull_day,big_bear_day,doji_day,long_wick_day,recent_3_big_bull_count,recent_3_big_bear_count,recent_3_doji_count,recent_3_long_wick_count,recent_3day_bias,prev_day_open,prev_day_high,prev_day_low,prev_day_close,prev_day_return_pct,next_day_open,next_day_high,next_day_low,next_day_close,next_day_color,next_day_return_pct,phase2_core_setup,phase2_simple_setup,long_entry_price,long_stop_price,long_risk,long_risk_pct,long_stop_hit,long_hit_1r,long_hit_2r,long_first_touch,long_hit_stop_first,long_hit_1R_first,long_hit_2R_first,long_ambiguous_bars,long_mfe_r,long_mae_r,long_next_close_r,long_next_close_net_r,long_stop_or_close_r,long_stop_or_close_net_r,long_fixed_1r_r,long_fixed_1r_net_r,long_fixed_2r_r,long_fixed_2r_net_r,long_breakeven_after_1r_r,long_breakeven_after_1r_net_r,long_half_1r_hold_r,long_half_1r_hold_net_r,short_entry_price,short_stop_price,short_risk,short_risk_pct,short_stop_hit,short_hit_1r,short_hit_2r,short_first_touch,short_hit_stop_first,short_hit_1R_first,short_hit_2R_first,short_ambiguous_bars,short_mfe_r,short_mae_r,short_next_close_r,short_next_close_net_r,short_stop_or_close_r,short_stop_or_close_net_r,short_fixed_1r_r,short_fixed_1r_net_r,short_fixed_2r_r,short_fixed_2r_net_r,short_breakeven_after_1r_r,short_breakeven_after_1r_net_r,short_half_1r_hold_r,short_half_1r_hold_net_r
2019-12-17,2019-12-17 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-18 00:00:00+00:00,2019-12-18 08:00:00+00:00,2019-12-18,6892.9,6953.7,6541.2,6586.2,bear,bear,False,False,kept_bear,bull,long_lower_bull,0.4349442379182211,0.1883519206939263,0.3767038413878526,0.8116480793060737,0.20072727272727317,low_area,1.814773513537131,high_volume,False,False,False,False,False,False,no_breakout,sideways,sideways,close_break_prior_low,False,True,False,False,False,False,False,False,0,0,0,0,two_bearish,6892.9,6953.7,6541.2,6624.0,-0.03901115640731767,6623.8,7498.2,6415.7,7285.0,bull,0.09982185452459302,sideways__kept_bear__long_lower_bull__low_area__no_breakout,bull__long_lower_bull__low_area__high_volume,6624.0,6558.5,65.5,0.00988828502415459,True,True,True,1r,False,True,False,1,13.34656488549618,3.180152671755728,10.091603053435115,10.041603053435114,-1.0,-1.05,1.0,0.95,-1.0,-1.05,0.0,-0.05,0.0,-0.05,6624.0,6639.2,15.199999999999818,0.002294685990338137,True,True,True,ambiguous_stop_first,True,False,False,5,13.703947368421229,57.51315789473752,-43.486842105263676,-43.53684210526367,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05
2019-12-18,2019-12-18 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-19 00:00:00+00:00,2019-12-19 08:00:00+00:00,2019-12-19,6623.8,7498.2,6415.7,7455.8,bull,bull,False,False,kept_bull,bear,true_weak_bear,0.7856485740570366,0.0,0.21435142594296341,0.21435142594296341,0.8030484988452657,high_area,2.058527105540322,high_volume,False,False,False,False,False,False,no_breakout,sideways,sideways,close_break_prior_high,False,False,False,False,False,False,False,False,0,0,0,0,mixed,6623.8,7498.2,6415.7,7285.0,0.09982185452459302,7286.8,7390.8,7040.0,7142.9,bear,-0.019748037547345998,sideways__kept_bull__true_weak_bear__high_area__no_breakout,bear__true_weak_bear__high_area__high_volume,7285.0,7238.4,46.600000000000364,0.006396705559368616,True,True,True,ambiguous_stop_first,True,False,False,1,2.2703862660944067,5.257510729613693,-3.0493562231759497,-3.0993562231759495,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,7285.0,7455.8,170.80000000000018,0.02344543582704189,False,True,False,1r,False,True,False,0,1.434426229508195,0.6194379391100706,0.8319672131147553,0.7819672131147553,0.8319672131147553,0.7819672131147553,1.0,0.95,0.8319672131147553,0.7819672131147553,0.8319672131147553,0.7819672131147553,0.9159836065573776,0.8659836065573776
2019-12-19,2019-12-19 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-20 00:00:00+00:00,2019-12-20 08:00:00+00:00,2019-12-20,7286.8,7390.8,7040.0,7148.8,bear,bear,False,False,kept_bear,bear,long_lower_bear,0.4238095238095498,0.004761904761878776,0.5714285714285714,0.5714285714285714,0.29332953249714816,low_area,0.39509538419286744,shrinking_volume,False,False,False,False,False,False,no_breakout,sideways,sideways,inside_prior_day_range,False,False,False,False,False,False,False,False,0,0,0,0,mixed,7286.8,7390.8,7040.0,7142.9,-0.019748037547345998,7148.2,7238.1,7011.6,7180.2,bull,0.004476651464704329,sideways__kept_bear__long_lower_bear__low_area__no_breakout,bear__long_lower_bear__low_area__shrinking_volume,7142.9,7130.9,12.0,0.0016799899200604796,True,True,True,stop,True,False,False,2,7.933333333333394,10.941666666666606,3.1083333333333485,3.0583333333333487,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,7142.9,7151.9,9.0,0.0012599924400453599,True,True,True,2r,False,False,True,2,14.588888888888809,10.57777777777786,-4.144444444444464,-4.194444444444464,-1.0,-1.05,1.0,0.95,2.0,1.95,0.0,-0.05,0.0,-0.05
2019-12-20,2019-12-20 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-21 00:00:00+00:00,2019-12-21 08:00:00+00:00,2019-12-21,7148.2,7238.1,7011.6,7180.5,bull,bull,False,False,kept_bull,bull,long_lower_bull,0.31182795698920207,0.22580645161293791,0.46236559139786,0.7741935483870621,0.7443708609271499,high_area,0.41239851365564906,shrinking_volume,False,False,False,False,False,False,no_breakout,sideways,sideways,wick_break_prior_low,False,False,False,False,False,False,True,True,0,0,1,1,mixed,7148.2,7238.1,7011.6,7180.2,0.004476651464704329,7180.2,7204.4,7086.3,7134.9,bear,-0.006309016461937045,sideways__kept_bull__long_lower_bull__high_area__no_breakout,bull__long_lower_bull__high_area__shrinking_volume,7180.2,7173.0,7.199999999999818,0.0010027575833541989,True,True,True,stop,True,False,False,1,3.3611111111111707,13.041666666666945,-6.291666666666851,-6.341666666666851,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,7180.2,7182.3,2.100000000000364,0.0002924709618116994,True,True,True,2r,False,False,True,1,44.71428571427779,11.52380952380744,21.57142857142492,21.52142857142492,-1.0,-1.05,1.0,0.95,2.0,1.95,0.0,-0.05,0.0,-0.05
2019-12-21,2019-12-21 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-22 00:00:00+00:00,2019-12-22 08:00:00+00:00,2019-12-22,7180.2,7204.4,7086.3,7133.9,bear,bear,False,False,kept_bear,bull,long_lower_bull,0.07462686567164381,0.3358208955223972,0.589552238805959,0.6641791044776029,0.41151566469093714,middle_area,0.5354679147218173,shrinking_volume,False,False,False,False,False,False,no_breakout,sideways,sideways,inside_prior_day_range,False,False,False,False,False,False,False,True,0,0,1,2,mixed,7180.2,7204.4,7086.3,7134.9,-0.006309016461937045,7132.3,7536.8,7127.5,7495.7,bull,0.05095130603031284,sideways__kept_bear__long_lower_bull__middle_area__no_breakout,bull__long_lower_bull__middle_area__shrinking_volume,7134.9,7126.0,8.899999999999636,0.0012473895920054432,False,True,True,2r,False,False,True,0,45.157303370788426,0.8314606741572965,40.539325842698304,40.48932584269831,40.539325842698304,40.48932584269831,1.0,0.95,2.0,1.95,40.539325842698304,40.48932584269831,20.769662921349152,20.71966292134915,7134.9,7139.4,4.5,0.0006307026026994072,True,True,False,1r,False,True,False,0,1.6444444444443636,89.31111111111123,-80.17777777777782,-80.22777777777782,-1.0,-1.05,1.0,0.95,-1.0,-1.05,0.0,-0.05,0.0,-0.05
2019-12-22,2019-12-22 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-23 00:00:00+00:00,2019-12-23 08:00:00+00:00,2019-12-23,7132.3,7481.3,7127.5,7405.0,bull,bull,False,False,kept_bull,bull,normal_bull,0.6881638846737458,0.3118361153262542,0.0,0.6881638846737458,0.8995846567310033,high_area,2.4050184392963545,high_volume,True,False,True,False,False,False,confirmed_up_breakout,sideways,sideways,close_break_prior_high,False,False,False,False,False,False,False,False,0,0,1,2,mixed,7132.3,7536.8,7127.5,7495.7,0.05095130603031284,7495.7,7716.9,7202.9,7320.1,bear,-0.023426764678415535,sideways__kept_bull__normal_bull__high_area__confirmed_up_breakout,bull__normal_bull__high_area__high_volume,7495.7,7405.0,90.69999999999982,0.012100270821937887,True,True,True,1r,False,True,False,0,2.438809261300995,3.228224917309821,-1.9360529217199538,-1.9860529217199538,-1.0,-1.05,1.0,0.95,2.0,1.95,0.0,-0.05,0.0,-0.05,7495.7,7536.8,41.100000000000364,0.005483143669036963,True,True,True,stop,True,False,False,3,7.1240875912408175,5.381995133819899,4.27250608272501,4.22250608272501,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05
2019-12-23,2019-12-23 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-24 00:00:00+00:00,2019-12-24 08:00:00+00:00,2019-12-24,7495.7,7716.9,7202.9,7295.3,bear,bear,False,False,kept_bear,bull,long_upper_bull,0.5310492505353379,0.46895074946466214,0.0,0.5310492505353379,0.22801556420233604,low_area,0.8264967280591079,normal_volume,False,False,False,False,False,False,no_breakout,sideways,sideways,wick_break_prior_high,False,False,False,False,False,False,False,True,0,0,0,2,mixed,7495.7,7716.9,7202.9,7320.1,-0.023426764678415535,7318.8,7458.0,7131.6,7255.2,bear,-0.008689949171995504,sideways__kept_bear__long_upper_bull__low_area__no_breakout,bull__long_upper_bull__low_area__normal_volume,7320.1,7295.3,24.800000000000182,0.003387931858854412,True,True,True,stop,True,False,False,2,5.560483870967687,7.600806451612847,-2.6169354838709706,-2.6669354838709705,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,7320.1,7342.0,21.899999999999636,0.0029917624076173325,True,True,True,1r,False,True,False,2,8.607305936073203,6.296803652968125,2.9634703196347774,2.9134703196347775,-1.0,-1.05,1.0,0.95,2.0,1.95,0.0,-0.05,0.0,-0.05
2019-12-24,2019-12-24 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-25 00:00:00+00:00,2019-12-25 08:00:00+00:00,2019-12-25,7318.8,7458.0,7131.6,7237.3,bear,bear,False,False,kept_bear,bull,long_upper_bull,0.19350649350648877,0.4519480519480543,0.3545454545454569,0.5480519480519457,0.37867647058823406,middle_area,0.5147875203589984,shrinking_volume,False,False,False,False,False,False,no_breakout,sideways,sideways,wick_break_prior_low,False,True,False,False,False,False,False,True,0,0,0,2,two_bearish,7318.8,7458.0,7131.6,7255.2,-0.008689949171995504,7254.1,7262.3,7121.7,7199.9,bear,-0.0074716367295737385,sideways__kept_bear__long_upper_bull__middle_area__no_breakout,bull__long_upper_bull__middle_area__shrinking_volume,7255.2,7213.0,42.19999999999982,0.0058165178079170555,True,False,False,stop,True,False,False,0,0.16824644549763967,3.163507109004753,-1.3104265402843702,-1.3604265402843703,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,7255.2,7290.0,34.80000000000018,0.00479655970889847,False,True,True,1r,False,True,False,0,3.836206896551704,0.2040229885057565,1.5890804597701118,1.5390804597701118,1.5890804597701118,1.5390804597701118,1.0,0.95,2.0,1.95,0.0,-0.05,1.294540229885056,1.2445402298850559
2019-12-25,2019-12-25 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-26 00:00:00+00:00,2019-12-26 08:00:00+00:00,2019-12-26,7254.1,7262.3,7121.7,7214.9,bear,bear,False,False,kept_bear,bear,long_lower_bear,0.57786885245904,0.05737704918031381,0.36475409836064626,0.36475409836064626,0.5561877667140798,middle_area,0.6162831774985673,shrinking_volume,False,False,False,False,False,False,no_breakout,sideways,sideways,wick_break_prior_low,False,True,False,True,False,False,False,True,0,0,0,3,three_bearish,7254.1,7262.3,7121.7,7199.9,-0.0074716367295737385,7199.9,7433.7,7157.6,7207.0,bull,0.0009861248072891016,sideways__kept_bear__long_lower_bear__middle_area__no_breakout,bear__long_lower_bear__middle_area__shrinking_volume,7199.9,7191.0,8.899999999999636,0.0012361282795593878,True,True,True,1r,False,True,False,4,26.269662921349408,4.752808988764158,0.7977528089888375,0.7477528089888374,-1.0,-1.05,1.0,0.95,-1.0,-1.05,0.0,-0.05,0.0,-0.05,7199.9,7215.4,15.5,0.0021528076778844153,True,True,True,stop,True,False,False,1,2.729032258064469,15.083870967741948,-0.45806451612905574,-0.5080645161290558,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05
2019-12-26,2019-12-26 00:00:00+00:00,2019,2019Q4,BTC-USDT-SWAP,2019-12-27 00:00:00+00:00,2019-12-27 08:00:00+00:00,2019-12-27,7199.9,7433.7,7157.6,7202.7,bull,bull,False,False,kept_bull,bull,long_lower_bull,0.16044776119403556,0.23507462686567684,0.6044776119402876,0.7649253731343232,0.17892068091271182,low_area,0.7835860331994452,normal_volume,False,False,False,False,False,False,no_breakout,sideways,sideways,wick_break_prior_high,False,False,False,False,False,False,True,True,0,0,1,3,mixed,7199.9,7433.7,7157.6,7207.0,0.0009861248072891016,7203.2,7266.0,7087.0,7248.8,bull,0.0063305197689915715,sideways__kept_bull__long_lower_bull__low_area__no_breakout,bull__long_lower_bull__low_area__normal_volume,7207.0,7186.5,20.5,0.0028444567781323715,True,True,True,1r,False,True,False,2,2.8780487804878048,5.853658536585366,2.0390243902439114,1.9890243902439113,-1.0,-1.05,1.0,0.95,-1.0,-1.05,0.0,-0.05,0.0,-0.05,7207.0,7213.3,6.300000000000182,0.000874150131816315,True,True,True,ambiguous_stop_first,True,False,False,11,19.047619047618497,9.365079365079096,-6.634920634920472,-6.684920634920472,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05,-1.0,-1.05
